study_id,SYMBOL,logFC,SE,P.Value
GSE278723,ADD2,-0.01867671128288655,0.17451072719442676,0.9147705071287461
GSE278723,ADD3,-0.14384028217701142,0.07431900951911122,0.05293583249716925
GSE278723,ADGB,-0.7956544391665399,0.48480147885518826,0.10075665391495507
GSE278723,ADGRA1,0.8230538212639208,0.07682187190501504,8.769130789184822e-27
GSE278723,ADGRA2,0.8458486602174325,0.1027882694026246,1.8872160008463383e-16
GSE278723,ADGRA3,0.16683948333822865,0.1129649277697749,0.13969869162384604
GSE278723,ADGRB1,0.8350786304751759,0.0995544872910105,4.938240931476982e-17
GSE278723,ADGRB2,0.8904840832536915,0.08615165864439531,4.831308139800794e-25
GSE278723,ADGRB3,-0.4723782596824933,0.07295979824399607,9.512601464862679e-11
GSE278723,ADGRD1,-0.010399688217047853,0.1119920418009199,0.9260140231982749
GSE278723,ADGRE2,-0.020808917773489446,0.13107004887586693,0.8738565408644581
GSE278723,ADGRE5,0.7790606291488005,0.10429088658474181,8.014980028453798e-14
GSE278723,ADGRF5,-0.383479297395177,0.11699531296774149,0.0010464464594122885
GSE278723,ADGRG1,0.627105198784219,0.11704906670832306,8.432225906675199e-8
GSE278723,ADGRG2,-0.708031925350152,0.47660302057350923,0.13739024283207318
GSE278723,ADGRG4,-0.419546651770231,0.6863153354517916,0.540998978032397
GSE278723,ADGRG6,-0.24110752946385142,0.13043759645404712,0.06453710023532874
GSE278723,ADGRL1,0.6024731328081345,0.07136209756763982,3.106726815854178e-17
GSE278723,ADGRL2,-0.48844166989257753,0.1012489622673796,1.4059120804842281e-6
GSE278723,ADGRL3,-0.09154223090181457,0.05290223679773784,0.08355815769584642
GSE278723,ADGRL4,-0.9275548590678625,0.14563869131920862,1.9041767839675518e-10
GSE278723,ADGRV1,-0.043840453374157345,0.10961451201175663,0.6891924753633697
GSE278723,ADH1B,-0.701478905250716,0.16255038147976705,1.5927428050284286e-5
GSE278723,ADH5,-0.17209419825704816,0.06340995053264521,0.006647745576371045
GSE278723,ADHFE1,0.5338276814866957,0.08648222103750136,6.713904542692541e-10
GSE278723,ADI1,-0.17706026731688512,0.08027806671323737,0.027412924031098566
GSE278723,ADIPOR1,0.43520953414356683,0.05575846980535069,5.937748015363063e-15
GSE278723,ADIPOR2,-0.2503571936311159,0.09039586290215483,0.005613124954632408
GSE278723,ADIRF,1.6002338041816955,0.09938827540722206,2.517021467790855e-58
