SYMBOL,K,K_used,Z,P,Dir,FDR
KAT2B,5,3,3.3193181451796243,9.02375581599754e-4,up,0.0020090573993521484
AMOTL2,5,4,3.3191438774510438,9.029389363137974e-4,up,0.002010106377062912
COL9A2,5,4,3.318501157201093,9.050194751758967e-4,up,0.0020145323236991754
ADGRD1,4,2,3.318372352231955,9.054369616218255e-4,up,0.002015138738347789
ABHD14B,5,4,3.318338899490101,9.055454188244062e-4,up,0.002015138738347789
AGA,5,4,-3.3183315635975283,9.055692041462907e-4,down,0.002015138738347789
RNF26,5,4,-3.3182678553764475,9.057757910284252e-4,down,0.0020153927352735967
FAM78B,5,4,-3.3182078882646486,9.059702865069442e-4,down,0.002015619779175211
MYOM1,5,5,3.3174712974438427,9.083624821755803e-4,up,0.0020205662088421143
STXBP1,5,4,-3.3174662340748915,9.083789465098648e-4,down,0.0020205662088421143
CDKN2B,4,4,3.317039370503263,9.097679548997034e-4,up,0.0020234494169320987
EYA1,5,4,3.3169963280949117,9.099081235147683e-4,up,0.00202355472822049
ZC3H10,5,5,3.316941908564068,9.100853706448444e-4,up,0.0020237424689339306
CD55,5,3,-3.316537352890591,9.114040321209413e-4,down,0.002026468057549071
URB1,5,4,3.3163376396854973,9.120556559671514e-4,up,0.002027710111741777
PCDH7,5,4,-3.316223107658129,9.124295456066407e-4,down,0.002028334508388944
PDE4DIPP6,2,2,3.3161564682864904,9.126471551000616e-4,up,0.0020286114017471907
ACAD8,5,3,-3.316065517910206,9.12944229292184e-4,down,0.002029064852971649
CDK5R2,5,4,-3.315998924665524,9.131618018127994e-4,down,0.0020293415332641018
ADI1,5,4,-3.3159471218054977,9.133310846218517e-4,down,0.002029510852700131
EMX1,5,3,3.315857580633745,9.136237583015937e-4,up,0.0020299542962426663
LY6E,5,3,-3.315655979906275,9.14283027255138e-4,down,0.0020310690760134064
SS18L1,5,3,-3.315647179380993,9.143118165219746e-4,down,0.0020310690760134064
PHF7,5,4,-3.3155212988111025,9.147237031385977e-4,down,0.002031777020084011
FN3K,5,3,-3.3153378074470243,9.15324402743193e-4,down,0.0020329041670949827
TSPAN9,5,4,3.315271675699787,9.155409892605732e-4,up,0.0020331636376640073
ANKDD1A,5,3,-3.315245188319128,9.156277507722224e-4,down,0.0020331636376640073
EXOC4,5,4,-3.3146451939307098,9.175951220789723e-4,down,0.002037324702764403
CYTH3,5,5,3.3143470788917493,9.185740921714049e-4,up,0.002039168183803476
TLK2,5,3,3.314335394275469,9.186124825986852e-4,up,0.002039168183803476
LOC101928055,2,2,3.314226848520887,9.189691865039832e-4,up,0.002039752314698976
C2ORF16,2,2,-3.3138663692183905,9.201547175096658e-4,down,0.0020421758115064872
POLR2D,5,3,-3.313805528833427,9.203549468425777e-4,down,0.0020424122756631754
DGAT2,5,4,-3.3137121480591922,9.206623470761727e-4,down,0.002042886496550396
TOR3A,5,4,3.3134780521123304,9.21433385929807e-4,up,0.002044389298458755
IQCA1,4,3,3.3132439484287315,9.222050486005919e-4,up,0.002045893178441183
DUT,5,4,-3.3130501921941704,9.22844169113875e-4,down,0.0020471027402168894
TNFRSF10A,4,3,3.3129815884176566,9.230705625532817e-4,up,0.002047396615548285
NBR2,4,4,3.3128622945012927,9.234643567267833e-4,up,0.002048061692879003
ADGRL1-AS1,3,2,3.3124515154646987,9.248215465811414e-4,up,0.002050863039061689
TRNM,1,1,3.3123539546499092,9.251441532751548e-4,up,0.0020513697808738456
LINC00673,4,3,3.312047518909789,9.26158129950584e-4,up,0.0020534092739807465
FAM212A,2,2,3.3117952378090645,9.26993685046452e-4,up,0.0020550528094059085
SLC8A2,5,3,-3.3111275059389715,9.292085851991024e-4,down,0.002059753570505911
ADAMTS4,5,4,-3.310605358690974,9.309439890034836e-4,down,0.0020633905962042444
KDSR,5,4,3.3104623296590896,9.314198826501708e-4,up,0.002064235525226835
GRIPAP1,5,4,-3.3102462326563726,9.321393193941699e-4,down,0.002065619973786572
MUC20,5,4,3.3100037567937233,9.329471903844955e-4,up,0.002067200091225977
PIP4K2C,5,5,-3.3094513432462995,9.347901218509644e-4,down,0.0020710731144789507
RNF6,5,4,-3.3087369919217196,9.371783020346862e-4,down,0.0020761532529883337
CEP72,5,3,3.3085608191703755,9.377681413804378e-4,up,0.002077115556654862
AHNAK2,5,4,-3.308550339330531,9.378032394914824e-4,down,0.002077115556654862
CPT1A,5,5,3.3071681237843458,9.424431081055232e-4,up,0.002087180231593713
ARL16,5,3,3.306624044358128,9.442753185933524e-4,up,0.0020910255175879814
BPNT2,3,3,-3.306564346742816,9.44476553600699e-4,down,0.0020912587187740033
TMEM185B,5,5,3.3062651817521918,9.454856089718145e-4,up,0.0020932803657148905
DHRSX,4,4,3.306210833406472,9.456690279843965e-4,up,0.0020934738504354007
FAM66E,2,2,-3.306099492629643,9.460448924108059e-4,down,0.0020940932784493838
CRACR2B,3,3,3.305819232599875,9.469916074653743e-4,up,0.0020959760440967135
C19ORF54,2,2,3.305390322093056,9.484421614470459e-4,up,0.0020989734607356663
BRINP1,5,4,-3.305144663539406,9.492738931615103e-4,down,0.002100600907918604
WNK3,5,4,-3.3045789328933113,9.51191870385768e-4,down,0.002104631479374823
SNRPD2,5,3,-3.303384921057354,9.552516762520576e-4,down,0.0021131907174978043
ZNF2,5,3,-3.303384211147928,9.552540948094517e-4,down,0.0021131907174978043
MAGI2-AS3,4,4,3.3033435556806063,9.553926114931521e-4,up,0.002113282703242919
B3GALT6,5,4,-3.3027494708666514,9.574188330411626e-4,down,0.0021171836880728304
FRMPD2,5,4,-3.3027417676240414,9.574451323056372e-4,down,0.0021171836880728304
ACAN,5,5,3.3027410602375733,9.574475473927818e-4,up,0.0021171836880728304
CCEPR,3,3,3.3026585432008244,9.577293074131615e-4,up,0.0021175919503969914
B3GNT4,5,3,-3.3020051927538856,9.599629296695907e-4,down,0.0021223153665679696
SPATA21,2,2,3.301794018872718,9.606859051564118e-4,up,0.0021236983794681538
MEGF10,5,5,3.301402386000477,9.620280355748988e-4,up,0.00212644968098635
EHBP1,5,4,-3.3013727035548466,9.621298284264512e-4,down,0.0021264590824741545
ST6GALNAC2,2,2,3.3012881256191196,9.624199343476291e-4,up,0.0021268846415319477
LOC107986126,2,2,-3.3012255807618955,9.626345179758349e-4,down,0.0021271432319472107
P4HTM,5,3,-3.3008202431835296,9.640262552846442e-4,down,0.0021300026747198266
PRICKLE2-AS3,2,1,3.30027675559791,9.65895258848805e-4,up,0.002133915944280786
GVQW3,3,2,-3.3002323612281823,9.660480751425408e-4,down,0.002134037297211727
HLA-DPA1,5,3,3.299867675297503,9.67304261159711e-4,up,0.002136595764695325
NEDD1,5,3,3.2997644501114403,9.676601020811717e-4,up,0.0021371652198836615
PFKP,5,3,3.2994771742967757,9.686510460464794e-4,up,0.002139137100370674
IPO8P1,1,1,-3.2992837603950793,9.693187471800389e-4,down,0.0021403948148761296
