SYMBOL,k,agree_frac
RLIM,5,1
RN7SK,3,1
RNASE4,4,1
RNASE6,3,1
RNF128,5,1
RNF175,5,1
RNF2,5,1
RNF213,5,1
RNMT,5,1
RNU11,3,1
RNU6-2,3,1
ROBO2,5,1
RPGRIP1L,5,1
RPH3A,5,1
RPH3AL,4,1
RPS16,5,1
RPS28,5,1
RRAD,3,1
RRAGB,5,1
RRAS,4,1
RREB1,5,1
RSL24D1,5,1
RTCA,5,1
RTKN2,4,1
RTN3,5,1
RTN4IP1,5,1
RUFY3,5,1
RUNDC3B,5,1
RUNX3,3,1
RUSF1,3,1
RWDD2A,5,1
RWDD2B,5,1
S100A11,4,1
S100A4,4,1
S100A6,5,1
SAFB2,5,1
SALL1,5,1
SALL3,5,1
SAMD12,5,1
SAP25,3,1
SCAMP1,5,1
SCAMP2,5,1
SCG2,5,1
SCG3,5,1
SCG5,5,1
SCN1A,5,1
SCN2A,5,1
SCN3B,5,1
SCN7A,5,1
SCRIB,5,1
SCRN3,5,1
SCUBE3,4,1
SDHAP1,3,1
SDR16C5,3,1
SEC14L6,5,1
SEC61A2,5,1
SEC61G,5,1
SEH1L,5,1
SELPLG,4,1
SERHL2,5,1
SERINC1,5,1
SERPINF2,4,1
SERPINI1,5,1
SERTM1,5,1
SETD1A,5,1
SGF29,5,1
SGIP1,5,1
SGTB,5,1
SH3BP2,5,1
SH3GL2,5,1
SHANK3,5,1
SHROOM1,5,1
SIGLEC1,3,1
SIGLEC8,5,1
SIPA1,5,1
SIRT2,5,1
SIX5,4,1
SKI,5,1
SKIC8,3,1
SKP1,5,1
SLC12A4,5,1
SLC12A7,5,1
SLC13A4,4,1
SLC15A3,5,1
SLC16A6,4,1
SLC16A7,5,1
SLC17A9,4,1
SLC19A1,5,1
SLC1A1,5,1
SLC25A12,5,1
SLC25A14,5,1
SLC25A40,5,1
SLC25A41,5,1
SLC25A42,5,1
SLC25A43,5,1
SLC25A46,5,1
SLC25A48,5,1
SLC26A1,5,1
SLC2A13,5,1
SLC2A9,5,1
SLC30A9,5,1
SLC35A1,5,1
SLC35B4,5,1
SLC37A2,5,1
SLC43A1,5,1
SLC44A5,5,1
SLC4A10,5,1
SLC4A11,5,1
SLC4A2,5,1
SLC4A8,5,1
SLC5A4,3,1
SLC6A9,5,1
SLC7A11-AS1,3,1
SLC7A14,5,1
SLC8A1,5,1
SLC8A3,5,1
SLC9A6,5,1
SLCO2B1,5,1
SLFN5,5,1
SLFNL1-AS1,4,1
SLIT2,5,1
SLITRK3,5,1
SLITRK4,5,1
SMG1P7,4,1
SMIM17,5,1
SMIM38,3,1
SMIM8,5,1
SMO,5,1
SMOX,5,1
SMS,5,1
SMTN,5,1
SNAP25,5,1
SNCA,5,1
SNORA37,3,1
SNORA38B,3,1
SNORA57,3,1
SNORA73B,3,1
SNRPA1,5,1
SNRPB2,5,1
SNRPD1,5,1
SNRPF,5,1
SNX10,5,1
SNX33,5,1
SNX4,5,1
SORBS3,5,1
SOX12,4,1
SOX2,5,1
SOX21,5,1
SPA17,4,1
SPACA6,5,1
SPAG6,3,1
SPATA25,4,1
SPEN,5,1
SPIN1,5,1
SPN,5,1
SPRYD7,5,1
SPTBN5,5,1
SQOR,3,1
SRD5A3,5,1
SRGAP1,5,1
SRP14-DT,3,1
SRPX,5,1
SRRM2,5,1
SSBP1,5,1
SSC5D,5,1
SSH3,5,1
SSX2IP,5,1
ST6GALNAC5,5,1
ST8SIA3,5,1
ST8SIA6,3,1
STARD10,5,1
STAT1,5,1
STAT4,5,1
STAT5A,5,1
STAU2,5,1
STH,3,1
STK40,5,1
STMN2,5,1
STON2,5,1
STRBP,5,1
STX10,5,1
STX12,5,1
STXBP5,5,1
STXBP5L,5,1
SUB1,5,1
SUCLA2,5,1
SULT4A1,5,1
SUMO1,5,1
SUSD2,4,1
SV2B,5,1
SV2C,5,1
SVEP1,5,1
SYNJ1,5,1
SYNM,5,1
SYNPR,5,1
SYPL2,4,1
SYT1,5,1
SYT16,5,1
SYT4,5,1
SZRD1,5,1
TAC1,3,1
TAC3,3,1
TACC3,5,1
TACR1,4,1
