SYMBOL,logFC,SE,P.Value,acc,region
ACSS1,0.89597414309879,0.23208425319606238,5.8836928420807e-4,GSE278723_CA1,hippocampus_CA1
ACSS2,0.014569404336973,0.20392153643303873,0.94353643920554,GSE278723_CA1,hippocampus_CA1
ACSS3,0.167003645441038,0.17029566411059516,0.334921160865501,GSE278723_CA1,hippocampus_CA1
ACTA2,0.578832055361216,0.3293035795184231,0.0894143780788926,GSE278723_CA1,hippocampus_CA1
ACTB,0.565827976639099,0.17917845203206723,0.0037116584793975,GSE278723_CA1,hippocampus_CA1
ACTG1,0.66258170906485,0.178882518550828,8.9460787981889e-4,GSE278723_CA1,hippocampus_CA1
ACTL6A,-0.080540645501675,0.18848652745480943,0.672336677167841,GSE278723_CA1,hippocampus_CA1
ACTL6B,0.546976895341861,0.26951001717836487,0.0517336435191471,GSE278723_CA1,hippocampus_CA1
ACTN1,0.381512815482412,0.16536244091377933,0.0284349931380721,GSE278723_CA1,hippocampus_CA1
ACTN2,0.262047364280929,0.2805524853906942,0.358047075895583,GSE278723_CA1,hippocampus_CA1
ACTN4,0.57508946887909,0.15401636903222102,8.2596398721182e-4,GSE278723_CA1,hippocampus_CA1
ACTR10,-0.474048781395896,0.19426689266326885,0.0210701775811102,GSE278723_CA1,hippocampus_CA1
ACTR1A,0.343248315531068,0.12741192662712925,0.0116490634270389,GSE278723_CA1,hippocampus_CA1
ACTR1B,0.740951456446789,0.1144471898621424,4.51506568366551e-7,GSE278723_CA1,hippocampus_CA1
ACTR2,-0.704044710076909,0.23662059045468156,0.00586952468850634,GSE278723_CA1,hippocampus_CA1
ACTR3,-0.60918533216329,0.1496549619702307,3.3341081234686e-4,GSE278723_CA1,hippocampus_CA1
ACTR3B,-0.226399103264595,0.19386856849379047,0.252463945258047,GSE278723_CA1,hippocampus_CA1
ACTR3C,-0.548248589044656,0.21351705768705978,0.0156958827148645,GSE278723_CA1,hippocampus_CA1
ACTR5,0.00714767675991782,0.20743905687300576,0.972750585508303,GSE278723_CA1,hippocampus_CA1
ACTR6,-0.87289795089608,0.19924338415595863,1.4267690824953e-4,GSE278723_CA1,hippocampus_CA1
ACTR8,-0.0858260278880633,0.095719594609045,0.377343552333681,GSE278723_CA1,hippocampus_CA1
ACVR1,-0.21240188999347,0.2320049706657426,0.367526908789461,GSE278723_CA1,hippocampus_CA1
ACVR1B,0.289310275150536,0.2343309007858318,0.226947711874851,GSE278723_CA1,hippocampus_CA1
ACVR1C,-0.897761694242013,0.2951385044627191,0.00497358578845946,GSE278723_CA1,hippocampus_CA1
ACVR2A,-0.577429664514447,0.20092059763732567,0.00753947990624435,GSE278723_CA1,hippocampus_CA1
ACVR2B,-0.144697761561076,0.14167631038864353,0.315601079897877,GSE278723_CA1,hippocampus_CA1
ACVRL1,-0.0363247463345024,0.382571284408015,0.925012786799391,GSE278723_CA1,hippocampus_CA1
ACY1,1.15482557320079,0.29074709508975394,4.3569590454278e-4,GSE278723_CA1,hippocampus_CA1
ACYP1,-0.545331108838434,0.339008796861491,0.118609361279938,GSE278723_CA1,hippocampus_CA1
ACYP2,-0.253040032736128,0.13214719525081392,0.0654917240765734,GSE278723_CA1,hippocampus_CA1
ADA,0.0153496019186363,0.2899372903501868,0.958144273272535,GSE278723_CA1,hippocampus_CA1
ADAL,-0.502640638612257,0.16120471678980136,0.00410606338064924,GSE278723_CA1,hippocampus_CA1
ADAM10,-0.606701257813335,0.11740741974327136,1.62207409941515e-5,GSE278723_CA1,hippocampus_CA1
ADAM11,0.248185532094936,0.2130561518239908,0.253622604488135,GSE278723_CA1,hippocampus_CA1
ADAM12,-0.280652322824056,0.2545056363508414,0.279270086592634,GSE278723_CA1,hippocampus_CA1
ADAM15,0.633397250944462,0.16869767448294962,7.8158950097353e-4,GSE278723_CA1,hippocampus_CA1
ADAM17,-0.547857742785368,0.11842430665323944,7.260102894333e-5,GSE278723_CA1,hippocampus_CA1
ADAM19,-0.419383413946426,0.27688370394275147,0.140756368383408,GSE278723_CA1,hippocampus_CA1
ADAM20,-0.771823723392888,0.21343761804941022,0.00112963027318876,GSE278723_CA1,hippocampus_CA1
ADAM22,-0.539842375328407,0.21196249164053463,0.0164768606753462,GSE278723_CA1,hippocampus_CA1
ADAM23,-0.437667247654599,0.29031046496710394,0.142550988092703,GSE278723_CA1,hippocampus_CA1
ADAM28,-0.70358043849233,0.45996167638984486,0.13701176217289,GSE278723_CA1,hippocampus_CA1
ADAM32,-1.00145590371441,0.17273600139149609,2.84773574969477e-6,GSE278723_CA1,hippocampus_CA1
ADAM33,0.138489434831904,0.2529778642715876,0.5882953539886,GSE278723_CA1,hippocampus_CA1
ADAM8,0.372416191460526,0.26613053746991194,0.172377611337908,GSE278723_CA1,hippocampus_CA1
ADAM9,-0.313401594817315,0.1551187868206604,0.0527269645168594,GSE278723_CA1,hippocampus_CA1
ADAMTS1,-0.763383439194771,0.33043069312122536,0.0282373568525707,GSE278723_CA1,hippocampus_CA1
ADAMTS10,0.527057933066938,0.21707083204870986,0.0216618003183755,GSE278723_CA1,hippocampus_CA1
ADAMTS13,0.6482846316976,0.1805672422826108,0.00120967390974437,GSE278723_CA1,hippocampus_CA1
ADAMTS14,0.553116784966601,0.46375956796169304,0.242726691478565,GSE278723_CA1,hippocampus_CA1
ADAMTS16,1.02659621070979,0.8859500880760948,0.256073597144993,GSE278723_CA1,hippocampus_CA1
ADAMTS17,0.218046352231474,0.2239006972804205,0.338236972391517,GSE278723_CA1,hippocampus_CA1
ADAMTS18,-0.27767318529943,0.8425964762815609,0.744128375732673,GSE278723_CA1,hippocampus_CA1
ADAMTS19,-0.183643180840385,0.3298033483821205,0.581946864551755,GSE278723_CA1,hippocampus_CA1
ADAMTS2,0.738450889615452,0.2265205994536035,0.00286042036376581,GSE278723_CA1,hippocampus_CA1
ADAMTS3,-0.508367662341107,0.38196526320861757,0.193652315790354,GSE278723_CA1,hippocampus_CA1
ADAMTS4,-0.311152115197137,0.38496894394999487,0.42557012235071,GSE278723_CA1,hippocampus_CA1
ADAMTS5,-0.0343374613977727,0.2823104728093581,0.904036469593044,GSE278723_CA1,hippocampus_CA1
ADAMTS6,-0.564492678329614,0.2359652218637139,0.0234936228334449,GSE278723_CA1,hippocampus_CA1
ADAMTS7,0.633300299502877,0.2769809502772031,0.0297703037936715,GSE278723_CA1,hippocampus_CA1
ADAMTS8,0.819684888835903,0.32562595906675595,0.0176494494990061,GSE278723_CA1,hippocampus_CA1
ADAMTS9,-1.30103352845479,0.32921185317725343,4.5985681342844e-4,GSE278723_CA1,hippocampus_CA1
ADAMTSL1,0.230993054055994,0.25177171976788865,0.366514430701892,GSE278723_CA1,hippocampus_CA1
ADAMTSL2,0.646330447029407,0.2523521779833262,0.0159351209855615,GSE278723_CA1,hippocampus_CA1
ADAMTSL3,-0.12866377136924,0.23088313509522781,0.581649085161484,GSE278723_CA1,hippocampus_CA1
ADAMTSL4,0.263204003451737,0.3422641292347928,0.448148007240921,GSE278723_CA1,hippocampus_CA1
