SYMBOL,logFC,SE,P.Value,acc,region,study_id
CLPP,1.07213800604091,0.18845379046843097,3.83750317027226e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
CNNM3,1.11121468977113,0.19960947361084466,5.37387036240698e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
CNTFR,1.68226737766952,0.2698796176315693,8.65933271162941e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
COL1A1,1.50623197403564,0.4891083806883092,0.00452438679046177,GSE278723_CA1,hippocampus_CA1,GSE278723
COL4A4,-1.16956234137335,0.2595604785774011,1.0118183610556e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
COL6A3,1.28032248092795,0.5666924982334569,0.0316084648736714,GSE278723_CA1,hippocampus_CA1,GSE278723
COLCA2,1.43255073257858,0.37334362576131386,6.266790032322e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
COMT,1.20250456928265,0.13884929431191143,1.6395991968371802e-9,GSE278723_CA1,hippocampus_CA1,GSE278723
COPE,1.09145066118201,0.12041007960069146,6.20400612698768e-10,GSE278723_CA1,hippocampus_CA1,GSE278723
COPZ2,1.10449985534443,0.25313506689354376,1.4981925094422e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
COX6B1,1.34694624673566,0.16859019486544752,8.63810818029585e-9,GSE278723_CA1,hippocampus_CA1,GSE278723
COX7A1,1.78358808523059,0.45750999509410223,5.312802967691e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
COX8A,2.0208392510458,0.16102671626575485,3.35217050073408e-13,GSE278723_CA1,hippocampus_CA1,GSE278723
CRB2,1.58440485973037,0.24694208944937696,5.28052266474142e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
CRHR1,1.11444177844959,0.3237813593014885,0.00178580866238202,GSE278723_CA1,hippocampus_CA1,GSE278723
CRLF1,1.12869547757599,0.40545687897152327,0.00938983514695966,GSE278723_CA1,hippocampus_CA1,GSE278723
CRTC1,1.03837243573823,0.2665562360253009,5.3553232721028e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CSDC2,1.00958414735031,0.3392441176237863,0.00586129134666227,GSE278723_CA1,hippocampus_CA1,GSE278723
CSRP1,1.40018427800553,0.2305083318631989,1.33504544301022e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
CST3,1.50817752656382,0.21228564113345327,8.43435400945591e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
CTD-3099C6.9,-1.00797463153509,0.23782183143668992,2.110035305611e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CTDSP1,1.00486249147653,0.31625758854120434,0.0035326576359573,GSE278723_CA1,hippocampus_CA1,GSE278723
CTNNA3,-1.00830443143707,0.4314838704700288,0.0266131666135005,GSE278723_CA1,hippocampus_CA1,GSE278723
CTSD,1.10916616975176,0.19125888287761617,2.83460471520311e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
CTXN1,1.30259711288741,0.3821469726362045,0.00194788397579347,GSE278723_CA1,hippocampus_CA1,GSE278723
CXXC5,1.1048549289606,0.17102375259492653,4.68781394113266e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
CYP11A1,1.74868234879153,0.4133025289896986,2.152957211097e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CYP4F12,1.41243957650905,0.6027311178563566,0.0262247988741931,GSE278723_CA1,hippocampus_CA1,GSE278723
CYP4F3,1.26572595482617,0.47262107629768274,0.0120989388195332,GSE278723_CA1,hippocampus_CA1,GSE278723
CYS1,1.3487194385653,0.3540353338091397,6.7471397872125e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CYSLTR2,-1.06659630024516,0.39016330758627316,0.0105930907362486,GSE278723_CA1,hippocampus_CA1,GSE278723
D2HGDH,1.19255177423489,0.19183779559718864,9.06702895380328e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
DACH2,-1.11270038200246,0.4951379059123694,0.0324556491527081,GSE278723_CA1,hippocampus_CA1,GSE278723
DAGLA,1.05291172450002,0.1944379689821926,8.17242072512224e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
DCAF15,1.04061057001664,0.167390095062903,9.06159767851727e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
DCTPP1,1.02304498572613,0.2908701254458607,0.0014664872491636,GSE278723_CA1,hippocampus_CA1,GSE278723
DDAH2,1.19481574109227,0.23969235055175447,2.69109271485139e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
DDTL,1.44584303458245,0.20394630356521604,8.77680050708081e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
DEGS2,1.53650629132282,0.39496937992302517,5.4326160886783e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
DHRS4L2,1.01710378078183,0.2521834037992857,3.6905942825486e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
DLEC1,1.24247134903597,0.44732359466872484,0.00953150493047114,GSE278723_CA1,hippocampus_CA1,GSE278723
DMKN,1.44725571767649,0.5276268602043279,0.0103606969806726,GSE278723_CA1,hippocampus_CA1,GSE278723
DNAJB14,-1.26436480709767,0.19333101500038974,3.78330303045536e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
DNAJC2,-1.14387570639804,0.17176260248074182,2.74427360514257e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
DNPH1,1.12186181710042,0.1980668910153174,4.11180593273707e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
DPM3,1.11705430638456,0.17074272115832007,3.75869569141447e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
DPY19L2,-1.23634177542084,0.22626907399969556,7.13972549973681e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
DRC1,1.04949200117147,0.44528849967318845,0.0254438555776423,GSE278723_CA1,hippocampus_CA1,GSE278723
DRD4,1.67509233151275,0.39931883430689324,2.3763804758992e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
DTWD1,-1.0982335905991,0.2693157675453882,3.268895215863e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
DTX1,1.03390345197618,0.15924762124164843,4.29855558028293e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
DUSP15,1.37627774082857,0.24140267013495387,3.7124043032496e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
DUSP23,1.60289475853343,0.24601967830329713,4.04183238892635e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
DYNC1LI2,-1.07324758063112,0.29551871823374903,0.00108395158436925,GSE278723_CA1,hippocampus_CA1,GSE278723
