"","LOAD1","LOAD2","LOAD3","LOAD4","CTRL1","CTRL2","CTRL3","CTRL4"
"TMEM87B",3.69449661449016,3.0195141769009,3.25618826229511,3.1131742019017,3.64757400972381,3.1752271580057,3.370912059253,3.23503352904314
"FBLN7",2.17919698652807,2.05953867805906,2.71163415824037,3.26105464357662,1.77542809301854,2.35470364601687,2.15101146111189,1.63539747930689
"ZC3H8",4.22683301846049,4.40035795552991,4.81351250685706,4.39345515905921,4.24274050373783,4.91533672648753,4.44032127786377,4.13052588949204
"ZC3H6",5.56447015634033,5.48331906288356,5.23358011922132,5.54791504649655,6.23930004085691,5.33553701475288,5.43630341861797,5.25773893911026
"RGPD8",6.36305077349657,6.30121445474208,6.63394158748895,6.30410023970376,6.93838259019914,6.67083759315793,6.30853553063209,6.20777328511448
"TTL",5.89293769532319,5.99188480110381,6.11274311128436,5.78080526913436,6.41831959069268,6.1749016752134,6.1683429097847,5.8505265909199
"POLR1B",3.56075033855782,3.52118023258455,3.63494746045444,3.64045167146607,3.2282649498062,3.83102619362053,3.62738247243992,3.43468064440278
"SLC20A1",4.90418264948712,4.37687157055057,4.7848055204813,4.94541167122962,4.37095236036844,4.51251685669692,4.66602180835231,4.45803328180144
"PSD4",3.66582832805634,3.50682592405449,2.7517420911937,3.40475017195617,3.32782276824994,3.47612775824524,3.78875381206612,3.78066757681305
"PAX8-AS1",3.39438790745484,1.63582354990098,2.82124089362507,0.884694101111244,3.56836220708311,2.36016444559295,4.03417275910861,-0.956238814415335
"ZNG1B",4.09521956369728,4.20969133525552,4.52345690005387,4.39745675911812,4.87138801090634,4.68778690194676,4.6414123359714,4.51307502430763
"LOC112268422",1.25519741957072,2.06825426179759,2.37066194854543,1.42597820927438,1.99982383619249,1.77708518398647,1.94019512777335,1.7269354315055
"WASH2P",3.36388440834947,3.96914187503247,3.72769139646739,3.8754944409741,3.29615673435448,3.02174023370123,3.26414073141438,3.84881791578467
"RPL23AP7",2.47795592720581,2.61497074592378,2.9894645597268,2.68323290981311,2.51799599306826,2.21099976348099,3.02349879719461,2.1045526025205
"RABL2A",4.18152302958482,4.21460661789971,4.40521544606032,4.51114085483414,3.66538833363352,4.05799253682383,4.45540030937883,4.56939514276794
"SLC35F5",5.2079042456657,5.26993125844384,5.2509419038688,5.30711305755297,5.5306714500562,5.35549646204545,5.27117641205598,4.97616732849494
"ACTR3",6.15141288883552,6.22969325103825,6.19892074132523,5.946190747947,6.52705602733149,6.31856500559159,6.64451179814534,6.27982633187554
