SYMBOL,max_loo_p,min_loo_p
PCDH8,0.954540586288028,7.273638944916266e-8
PCSK1,4.936239993742534e-7,4.59392823400149e-9
PCYOX1L,2.42594070993987e-10,1.0270822281816631e-15
PDE10A,9.537254059408096e-6,3.123088501523015e-7
PDE1A,4.502705454481017e-6,4.667683072676137e-9
PDP1,6.508697897717278e-6,6.336373730246998e-8
PFN2,3.4859162233409845e-5,3.795257346607381e-12
PIDD1,5.953927344840799e-6,3.3494160160668207e-13
PIK3R5,4.9769923310311104e-9,2.5480082769214528e-17
PLCXD3,2.3698663891868975e-4,1.80543292027819e-6
PLEKHA4,4.378897578513004e-8,1.2085386052022592e-13
PLGLB1,0.9515216110428106,4.507742495773068e-4
PLPP4,0.8479098938425189,1.4144346209743793e-8
POU3F4,1.769913523059883e-4,8.978453493245446e-11
PPEF1,5.337496746699374e-6,8.344936131346397e-19
PPM1E,4.9834642152034446e-5,2.137644422052831e-8
PPP1R1A,3.282501984867061e-7,2.032279532906479e-15
PRELP,7.178371178820047e-12,1.8208308379516736e-21
PRKX,3.590452038234558e-10,1.1187130277003672e-15
PRX,6.294670858474073e-7,1.9981823492335289e-10
PYGM,1.4529168004872378e-6,1.1391913286665832e-14
RAB3B,3.123010539618326e-6,3.147741312737609e-10
RAB3C,4.974106793715833e-7,2.7135865857241616e-12
RAMP2-AS1,1.1428421742541707e-5,8.853748491378546e-8
RCC1,0.9615872752671326,3.080910386092245e-7
RGS4,2.3186381939012906e-5,8.855281744777415e-11
RGS9BP,7.90303364771849e-6,2.418740682507643e-13
RNF152,0.8687488810040697,9.199000793499883e-8
RORB,0.8717096551832714,2.2689694821177437e-5
RPH3A,1.2367941309129176e-6,1.6282520613600762e-14
RRAD,0.001134801071799291,6.368199182451501e-8
RTEL1,7.741955962306608e-5,8.239563242718031e-7
RTN3,4.6814490700920325e-9,1.9752417405361866e-15
RUNX3,0.0029378384243594516,1.366135423059697e-8
RWDD2B,2.4144683285752145e-5,2.610292383830308e-8
RXFP1,3.9543341365670205e-5,2.967533161221394e-7
RXRA,6.156165899615097e-7,2.8603824088407846e-12
S100A9,0.9759260463046533,5.346293328503692e-5
SAMD11,0.003075384857079735,1.6983603793219053e-5
SAMD4A,0.002382792212670162,1.7536537666996128e-12
SCG2,6.423351520370894e-9,5.921561213366006e-11
SCG5,7.115604537424577e-7,7.41672510256501e-9
SCN2A,4.650542401450721e-5,1.1371851073845344e-7
SELPLG,4.086393422639995e-4,1.336560226253309e-7
SEMA3A,0.9974299749788967,6.64091062331227e-7
SEMA5A,0.9640319875717669,7.271932090256236e-4
SERPINB8,1.2858431205893666e-4,2.362367629329621e-6
SERPINF2,1.3574077580415832e-5,3.8214012547831586e-8
SERPINI1,4.327461158597536e-9,8.850537979596676e-11
SERTM1,9.881461117985261e-5,1.1342090336554253e-8
SIGLEC8,1.0479320615362675e-6,7.024358203690987e-11
SIPA1,1.794315031469337e-7,2.292601803573711e-19
SIX5,2.8131205465850655e-5,4.694833247516953e-13
SLC17A6,2.505707239658264e-4,2.444712818380365e-9
SLC1A6,0.9981012150873012,5.23072269389733e-7
SLC27A2,1.068678505807349e-6,2.416109799720575e-9
SLC32A1,0.8787894521156648,3.2380615653959292e-6
SLC37A2,2.8476107704168036e-5,1.7845733836489916e-8
SLC38A2,0.9388965591314272,1.3148668358472698e-9
SLC4A11,6.5402395557033144e-6,3.641195778924208e-11
SLC5A3,0.9705850363031271,2.6182710719341574e-7
SLC6A12,5.540803399531299e-7,1.5930436802153857e-14
SLC6A7,0.9089113854852424,8.27223572067789e-6
SLC6A9,6.5176375297186415e-6,8.959197445284348e-11
SLC7A2,0.8786171934729304,7.777097132803818e-5
SLC7A4,0.9262267777044011,2.941785024266637e-4
SLCO4A1,9.028029180333048e-6,9.272157627635032e-8
SLFN5,3.4676760445237807e-4,3.6667820929111436e-16
SMO,3.456329584683138e-7,4.865066626697351e-24
SMOX,0.001336338337196107,8.005880057691814e-26
SMTN,1.3700083889191536e-7,1.9494371448288593e-10
SNAP25,0.0011311693222705555,1.5243029632695534e-6
SNCA,3.0664736667090684e-6,6.576865137896649e-12
SNX33,1.0239315713677394e-9,9.254606042638038e-16
SORCS1,0.9776805967047876,5.320892867607241e-4
SOWAHB,0.0011469378343933025,1.0837923438238326e-12
SPAG5,0.9657276682025171,1.1780931657147202e-4
SPN,3.0289251772964347e-4,4.130517104493674e-8
SST,7.317069364684577e-4,8.525317345768195e-8
ST8SIA3,3.1206429607732146e-5,3.400781186609528e-9
STAT4,6.186514390047505e-6,9.233588567961987e-12
STEAP3,7.166132019023738e-5,8.659030675372996e-7
STMN1,1.018377924077225e-5,4.6767903873736147e-7
STXBP5L,2.726226502000781e-7,9.136173811872728e-14
SV2B,4.2129837060024403e-4,3.838768545990107e-6
SVOP,0.0028892213679927023,1.326803488032901e-5
SYPL2,0.0023732650197785875,0.0016072233300371218
SYT16,0.001400887179752399,3.0574998538649237e-6
SYT4,7.697547429546202e-6,2.7621259094455804e-10
TAC1,1.9352289538601186e-10,1.1074995841363811e-15
TARBP1,0.004150514376900512,2.8438501371096492e-11
TBX18,0.9563339743302885,1.1674189481713098e-6
TBX3,3.4023903582368395e-5,2.1670462936284868e-7
TBX6,3.088777840353155e-5,3.884619831042467e-8
TCEA3,1.612689975461709e-6,3.0214593214218885e-16
TCEAL5,4.027442328084607e-4,4.872599804912727e-10
TCEAL6,0.9474539099630525,1.717695160364513e-8
TCEAL7,1.3465264715847728e-6,4.823876874392648e-23
TDRD6,0.9616995639403043,2.108986460002163e-6
TEAD2,7.492327711912672e-4,4.91584207343904e-6
TFAP2E,0.9413489467934542,2.4912475056816495e-7
TGFB1,0.005415889450534027,1.591124608637924e-5
TGFB1I1,1.0432706869193031e-4,2.2719094721815835e-8
TLR5,0.8818923828974117,2.1334061357001758e-7
TMPRSS5,1.1752774323003418e-5,1.9382073984985428e-11
TNFRSF10D,0.5988940240751026,9.963120614004686e-10
TNS3,6.0393596390720455e-5,3.855620088545815e-13
TOB2,1.1900596720428127e-4,3.886154577848442e-10
TRAM1L1,4.7043605929245465e-4,4.930711799724656e-14
TRIM36,9.986568014993545e-6,9.546899387981337e-9
TRIP10,7.21233336577334e-10,2.163643381648565e-15
TSPAN11,1.4081280970511522e-5,2.3508932920494007e-6
TUBB2A,4.92316765554511e-4,1.5532322757635657e-8
TUBB3,7.178420046521241e-5,2.828669444879695e-7
UBLCP1,2.9882529244469267e-7,4.2121434875637275e-20
VGF,3.6049388443529776e-6,9.450555164478206e-11
VIM,1.3121487835143e-5,6.519867198331678e-12
VWA7,0.826049881474296,0.49366637785990947
WFIKKN1,2.017100633573344e-5,1.2218412289486245e-15
YWHAZ,5.4609780384416266e-5,9.464959604722635e-9
ZBED6,0.97606329096186,9.04320667472302e-8
ZDHHC23,2.0111942171357002e-7,3.3911359629897747e-10
ZIC2,1.1863442055865763e-4,3.235040730542579e-14
ZIC4,0.9840054626614163,0.007303797523166006
ZMAT4,0.002318521406244373,3.5982343467739658e-6
ZNF365,2.3171468256818756e-6,6.944357006444329e-25
ZNF441,5.679256958060289e-8,1.4651964526564578e-12
ZNF449,3.650880708660057e-7,1.0290864189321427e-9
ZWILCH,2.1507154365662208e-4,7.598583596895634e-11
