SYMBOL,logFC,SE,P.Value,acc,region,study_id
ALDH1L1,0.793579829880432,0.18084690864861258,1.3993283226284e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDH1L2,-0.698494674438086,0.26662529917581596,0.0138912588631994,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDH2,0.679967851842943,0.112327817313012,1.41342818722236e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDH3B1,0.891303753701363,0.2759254407719265,0.00308687397586755,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDH4A1,1.00392188730268,0.3304458901286229,0.00502049109063446,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDOA,0.710289345289898,0.15468030500767294,7.98018940377348e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDOC,0.826459712506243,0.15535677364533948,1.06403811351571e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ALG13,-0.623077195564363,0.1607832586015168,5.6554487284221e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ALG3,0.621212075256144,0.14541832876602911,1.9249628265354e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ALG6,-0.584067628701079,0.27715402898523417,0.0439090425129635,GSE278723_CA1,hippocampus_CA1,GSE278723
ALG8,-0.583453698276006,0.14384604537326137,3.4680837177913e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ALKBH7,1.22470527259054,0.17132979887652175,7.51899589387181e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
ALKBH8,-0.600021595642918,0.1481999997794175,3.5381884629522e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ALS2CR11,-0.674118053928411,0.24992678478936697,0.011558875138486,GSE278723_CA1,hippocampus_CA1,GSE278723
ALYREF,0.639449573209982,0.1668744296653159,6.3542775479897e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AMD1,-0.703463666562221,0.1506397212416478,6.43578405388279e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AMDHD2,0.696227015638918,0.27010312263228536,0.0153357086418364,GSE278723_CA1,hippocampus_CA1,GSE278723
AMFR,0.608163103484269,0.19117848304430718,0.00349891078436321,GSE278723_CA1,hippocampus_CA1,GSE278723
AMMECR1,-0.593602399262496,0.20037544527069462,0.00606142639610815,GSE278723_CA1,hippocampus_CA1,GSE278723
AMN1,-0.917891546316678,0.1795972718751703,1.89775727638357e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AMOT,0.78242147534778,0.24026449740922606,0.00288601126863193,GSE278723_CA1,hippocampus_CA1,GSE278723
AMPD2,0.718960705944837,0.13524228942684205,1.0748689007073e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AMY2B,-0.634580995121932,0.15530177200143355,3.1963838045299e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ANAPC1,-0.610177541100596,0.11097961562244849,6.49842198671663e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ANAPC11,0.821726622953988,0.22198270393112038,8.9997283264199e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ANAPC2,0.672040241978482,0.16909276921416316,4.3280220176681e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ANAPC4,-0.738631169047604,0.15382485515281452,4.46786411110713e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ANAPC7,-0.667308755933185,0.11016372864830137,1.39806807786575e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ANGPT2,-1.1814934740761,0.398239840111905,0.0059965672294097,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKAR,-0.682242155250455,0.18351680304156937,8.627795628117e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKFN1,1.14157690887808,0.25089135111430466,8.95839205961796e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD12,-0.657310582285289,0.13103359733346998,2.46572288153595e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD13B,0.670759005104898,0.15072280593622714,1.1794405645002e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD13D,0.754262148894447,0.14012829118556944,8.94088914749399e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD26,-0.693297177398463,0.2215851418650951,0.00399565667467853,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD31,-0.688239395143552,0.25562291562404754,0.0116937011591419,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD34C,-1.09087893243179,0.45201815090566055,0.0223977525392032,GSE278723_CA1,hippocampus_CA1,GSE278723
