SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
FAM181B,4,0.5734650304204912,0.18157735144335949,3.1582409692729527,0.00158724297175133,0.21757996118333467,0.9293500996576478,0.10314769210610789,83.34588544055502,0.00323290530287961,7.832743807211341,4.773363437428568e-15,3.5158741653199654e-14,up,1.0237401083317627e-16,4.1472786432832318e-16,0.01249244727229519,8.905435618989873e-10,4,up,"[0.218, 0.929]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ABCA10,3,-0.5612760550507041,0.1778328596324529,-3.1561999070967888,0.00159839270286568,-0.9098220551980786,-0.21273005490332964,0.06955774985986886,80.03116679803134,0.00325335586225194,-7.647469622752639,2.0497264721053907e-14,1.353722358303234e-13,down,9.262590639479948e-18,4.19894564846904e-17,0.01746876131799732,4.807325910828686e-18,3,down,"[-0.910, -0.213]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EID1,3,-0.4106972244410845,0.13040608683658128,-3.149371585359744,0.00163622000943294,-0.6662884580055866,-0.1551059908765824,0.03345554632297717,69.00795028277348,0.0033257333940865,-5.869860603696724,4.361617019096825e-9,1.347546942317749e-8,down,3.1347337073262984e-8,4.480591600189099e-8,0.0429981655775823,9.778005305471888e-8,3,down,"[-0.666, -0.155]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
RGMA,3,0.5371291161778189,0.17092179090920245,3.1425432258848383,0.00167486981184885,0.2021285618226965,0.8721296705329413,0.06565260317124555,76.97677254411218,0.00339722901670311,6.7466675297249195,1.512793752635628e-11,6.380576950188626e-11,up,2.5857799439979794e-12,6.014347799957236e-12,0.02916317467665402,1.6899685586422052e-12,3,up,"[0.202, 0.872]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CDC40,3,-0.4874593315142954,0.15531291619740586,-3.1385627380450747,0.00169778586431085,-0.7918670535950985,-0.1830516094334923,0.06072657297219732,84.99038781627789,0.00344133098826796,-8.314335728908366,9.226760921479028e-17,2.0390703913993226e-15,down,1.7749018911171695e-18,8.990996971755887e-18,0.01664641839128894,5.198543403181722e-6,3,down,"[-0.792, -0.183]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SALL2,4,0.4375460382359005,0.1394423240358052,3.1378280680659763,0.00170204682667913,0.16424410520515842,0.7108479712666426,0.06363806924694598,85.49310964266516,0.00344758518138806,8.258568355672768,1.4743002833033362e-16,2.0390703913993226e-15,up,1.34066815984393e-18,6.935061221908724e-18,0.01643214476602378,2.0300239121632664e-6,4,up,"[0.164, 0.711]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SNRPB2,3,-0.37974308537181567,0.1210956393922379,-3.1358939700693864,0.00171331134533559,-0.6170861772654518,-0.14239999347817958,0.03194698685252591,73.74572145552241,0.00346800702268413,-6.4329073026241845,1.251860042543697e-10,4.718456283148143e-10,down,2.601548108724287e-9,4.253255631487365e-9,0.04272467702350222,1.6646745931899317e-7,3,down,"[-0.617, -0.142]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PSTPIP1,3,0.6597500267745313,0.21056196959386284,3.1332819884192458,0.00172863280934246,0.24705614985674224,1.0724439036923203,0.10863478470647102,83.22825996135052,0.00349660691710444,7.782784506458667,7.0945421902502455e-15,5.0675765631045385e-14,up,7.8284147987252e-16,2.848727122166379e-15,0.0252048658827661,2.0421510097050797e-5,3,up,"[0.247, 1.072]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
GSG1L,4,0.39411595731865623,0.12581576979474682,3.132484568203244,0.0017333353919566,0.1475215798337701,0.6407103348035423,0.0368010132640848,60.90109284673217,0.00350370275989573,5.124924161694,2.976575321060267e-7,7.171467704155243e-7,up,1.1759568142410253e-5,1.307956517318516e-5,0.02189406066149563,3.2794834651604845e-6,4,up,"[0.148, 0.641]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HSF1,3,0.43838323731493295,0.14030124122742624,3.124585595107603,0.00178055709780423,0.16339785752291136,0.7133686171069545,0.04757707898630601,84.003775983205,0.00359420094140387,7.902666063522302,2.730002601766205e-15,2.101131814873664e-14,up,2.674344722410031e-22,2.327552840008492e-21,0.01362377924167767,3.872966024130523e-5,3,up,"[0.163, 0.713]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADRA2C,4,0.6818866063236512,0.21825991625684307,3.124195308135385,0.0017829206913519,0.25410503119151057,1.1096681814557918,0.15060807246613298,83.12533307089724,0.00359649682787835,7.635128641746791,2.2559505640486593e-14,1.4774060119786113e-13,up,1.0171701391651936e-15,3.638243924599405e-15,0.01465092221733093,9.747186958331616e-8,4,up,"[0.254, 1.110]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
