Specification,Gene,Datasets contributing (k),Pooled log2FC,SE,95% CI,Z,Pooled P (raw),Pooled P (FDR),Direction,Direction matches primary,I2 (%),Max raw LOO P
Sensitivity analysis 2 (FDR),PIK3R5,3,0.8135479091396774,0.1103496018987004,"[0.597, 1.030]",7.372458940871437,1.675091942021313e-13,1.2981962550665177e-12,up,TRUE,0,8.956241170768778e-8
Sensitivity analysis 2 (FDR),CCDC102A,3,0.8149176307338035,0.11724594336228976,"[0.585, 1.045]",6.950497453167395,3.640003718638518e-12,1.2648502106826532e-11,up,TRUE,0,9.1922479951312e-8
Sensitivity analysis 2 (FDR),GFAP,3,0.8207201794898752,0.11810185721539904,"[0.589, 1.052]",6.949257182238988,3.672145772949638e-12,1.2648502106826532e-11,up,TRUE,0,2.6421915000362208e-6
Sensitivity analysis 2 (FDR),ITFG1,3,-0.6284251938428572,0.0907498342195864,"[-0.806, -0.451]",-6.924808174550089,4.365666788118198e-12,1.3533567043166414e-11,down,TRUE,0,5.394321874064649e-7
Sensitivity analysis 2 (FDR),KLF15,3,0.7247564429648661,0.10708905065050256,"[0.515, 0.935]",6.767792211831182,1.3076236756143275e-11,3.685121267640378e-11,up,TRUE,16.54467949023585,6.610240886539665e-6
Sensitivity analysis 2 (FDR),NUPR1,3,0.7694155674654781,0.12814483670003524,"[0.518, 1.021]",6.004265074421578,1.922004791569759e-9,4.2558677527616105e-9,up,TRUE,0,1.689302864735766e-6
Sensitivity analysis 2 (FDR),CLDN9,3,1.00702053694877,0.22714950619843732,"[0.562, 1.452]",4.433293973657327,9.280418873055796e-6,1.5982943614707206e-5,up,TRUE,52.082162414286834,0.00258818948691426
Sensitivity analysis 3a,MAS1,4,-1.4811856625824589,0.18881139392868793,"[-1.851, -1.111]",-7.84478961657307,4.336799207672449e-15,2.7466394981925503e-14,down,TRUE,0,5.114109076767015e-7
Sensitivity analysis 3a,NEUROD6,4,-1.2848436144124895,0.1646991492746188,"[-1.608, -0.962]",-7.801155136934835,6.134304406510351e-15,2.9137945930924165e-14,down,TRUE,0,9.724585063187964e-7
Sensitivity analysis 3a,RPH3A,3,-1.1538309281914194,0.1502966154211667,"[-1.448, -0.859]",-7.6770253605386385,1.6282520613600762e-14,6.187357833168291e-14,down,TRUE,0,9.089754966966629e-9
Sensitivity analysis 3a,RGS4,3,-1.258877588332501,0.1941123363548813,"[-1.639, -0.878]",-6.4853043962697345,8.855281744777415e-11,2.1031294143846358e-10,down,TRUE,0,2.0580903439429876e-4
Sensitivity analysis 3a,HSPB1,3,1.1845531461914476,0.18943190883461897,"[0.813, 1.556]",6.253186981426694,4.0216016240537197e-10,6.946402805183697e-10,up,TRUE,0,2.0345289563651947e-4
Sensitivity analysis 3b,CHML,4,-0.7544407569081075,0.0678200956191379,"[-0.887, -0.622]",-11.124147644156588,9.571632769089795e-29,8.404890223570848e-26,down,TRUE,0,1.993715157269153e-11
Sensitivity analysis 3b,HSPB1,4,0.9528414575370784,0.09960863707008508,"[0.758, 1.148]",9.56585177314147,1.1128131659095339e-21,1.153987253048187e-19,up,TRUE,0,2.981812193815676e-7
Sensitivity analysis 3b,PRELP,4,0.761820511754901,0.08226875948085077,"[0.601, 0.923]",9.260143419717243,2.0415779818657568e-20,1.2831008286029027e-18,up,TRUE,0,7.178371178820047e-12
Sensitivity analysis 3b,AEBP1,4,0.8602947395046119,0.10331161229191638,"[0.658, 1.063]",8.327183367091113,8.27884601269365e-17,2.1462908287908287e-15,up,TRUE,0,3.0756840860677184e-10
