SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
RAB3C,4,-0.8390488909236082,0.10953970938124603,-7.659769189302407,1.8626753673561414e-14,-1.0537427761878346,-0.6243550056593817,0,0,1.2262612835094598e-13,-7.642916133275341,2.1235632067067948e-14,9.146654736957488e-14,down,8.25064942855648e-13,3.031633976074242e-12,2.8424567207877787e-9,2.7135865857241616e-12,4,down,"[-1.054, -0.624]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZIC2,3,0.8517081437974866,0.111941351653636,7.6085211694852894,2.7724984952348752e-14,0.6323071261756268,1.0711091614193464,0,0,1.787978621416777e-13,6.911471614235963,4.796515227980069e-12,1.6445452473994773e-11,up,1.2609791340262104e-12,4.427437848358695e-12,1.1863442055865764e-4,4.16966309866177e-13,3,up,"[0.632, 1.071]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RTN3,3,-0.6277453016549098,0.08294619675103469,-7.568102290923655,3.7871573813341854e-14,-0.790316859941511,-0.46517374336830863,0,0,2.393483465003206e-13,-7.437431523849479,1.0266176817549787e-13,4.089890694621427e-13,down,1.1120285348741854e-12,3.94832603393531e-12,1.1485705374042037e-8,4.525007355706679e-12,3,down,"[-0.790, -0.465]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ITGAX,3,0.9001548007659018,0.11918549227662888,7.5525534490107855,4.268063950104812e-14,0.6665555284240324,1.133754073107771,0,0,2.644525898496315e-13,7.469115744787,8.07355021511491e-14,3.254739081861916e-13,up,9.268157173770093e-13,3.328110985126533e-12,1.8908526825995748e-8,5.3635352984609385e-12,3,up,"[0.667, 1.134]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FGFRL1,3,0.82469748632963,0.10945476192220728,7.534596684936987,4.8984644960354615e-14,0.6101700950256977,1.0392248776335624,0,0,2.9767591937446266e-13,6.842307573498723,7.79275458393646e-12,2.616794374083446e-11,up,1.728332470995838e-12,5.748979587733524e-12,2.029777615731252e-4,9.49985163667838e-13,3,up,"[0.610, 1.039]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PDE1A,3,-0.816627924892931,0.1092595998497715,-7.474198386373084,7.767588361463492e-14,-1.030772805563741,-0.602483044222121,0,0,4.599502702130926e-13,-7.176047841209778,7.175545396113116e-13,2.622795467774305e-12,down,1.3076974947843426e-12,4.4916566125201326e-12,4.502705454481017e-6,4.284001451690697e-11,3,down,"[-1.031, -0.602]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GFAP,4,0.8272491440489974,0.11070366927640612,7.472644307602061,7.859909680856646e-14,0.6102739393108081,1.0442243487871867,0,0,4.599502702130926e-13,7.376829496338973,1.6210338751941506e-13,6.333551446445639e-13,up,4.277770274654488e-12,1.2874051493245887e-11,2.0689168729755913e-8,3.672145772949638e-12,4,up,"[0.610, 1.044]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CCDC40,3,0.7976930811488319,0.10707264242729923,7.450017698876291,9.332771067731597e-14,0.58783455826179,1.0075516040358736,0,0,5.362101195278518e-13,7.288442580718441,3.1355847441269294e-13,1.1919401066075168e-12,up,1.972193275044872e-12,6.424877060970923e-12,1.845912983218569e-7,2.7811472798939533e-12,3,up,"[0.588, 1.008]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MDH1B,3,-0.7983612577351239,0.10745432765048278,-7.429772957418313,1.0878424082089264e-13,-1.0089678699130369,-0.5877546455572111,0,0,6.138539303464656e-13,-7.475584826243126,7.686125983124585e-14,3.1054126537396233e-13,down,1.358166266405776e-12,4.614844518109948e-12,2.3994012151819225e-5,4.820735983504029e-11,3,down,"[-1.009, -0.588]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
JMJD6,3,0.7303294852155922,0.09835511290383932,7.4254348722025965,1.1240996969536746e-13,0.5375570062286963,0.923101964202488,0,0,6.231850951532649e-13,7.409754985011362,1.2653296932465605e-13,4.986469823083488e-13,up,1.630341049480907e-12,5.480720974850708e-12,1.5017401021072837e-7,3.695939335636472e-9,3,up,"[0.538, 0.923]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
