Specification,Gene,Datasets eligible after screening,Retained,Datasets passing P alone,Datasets lost to magnitude gate,Stage,Failed gate,Pooled log2FC,Pooled P (FDR),I2 (%),Max raw LOO P
Sensitivity analysis 3b,TCEA3,4,TRUE,4,0,retained,NA,0.6740826553401851,6.2219530669349996e-15,0,1.612689975461709e-6
Sensitivity analysis 3b,TMPRSS5,4,TRUE,4,0,retained,NA,0.7976140917403818,1.3959085775597482e-9,0,1.1752774323003418e-5
Sensitivity analysis 3b,ITFG1,5,TRUE,5,0,retained,NA,-0.5867112124597093,4.118620510784793e-15,0,4.2088222923599474e-11
Sensitivity analysis 3b,NEUROD6,5,TRUE,5,0,retained,NA,-1.219348122806311,1.843007242022946e-14,0,1.1477379920119929e-7
Harness control (re-run of primary at 0.58),HSPB7,3,TRUE,3,0,retained,NA,0.8787884982191716,3.6016670886117722e-12,0,1.0778377225357809e-6
Harness control (re-run of primary at 0.58),KANK2,3,TRUE,4,1,retained,NA,0.8449067717408068,3.38364217242342e-17,0,6.543366166329028e-9
Harness control (re-run of primary at 0.58),MRGPRF,3,TRUE,3,0,retained,NA,1.0697407089422342,1.3852966669106066e-9,27.22727415914811,0.00112726399115941
Harness control (re-run of primary at 0.58),STAT4,3,TRUE,3,0,retained,NA,-1.0518699015540829,3.5842836033560525e-11,0,7.236932633408088e-5
Harness control (re-run of primary at 0.58),TRIM36,3,TRUE,3,0,retained,NA,-0.6562236840348249,1.7044181958203972e-8,0,1.0737560355064964e-4
Harness control (re-run of primary at 0.58),ADAM33,4,TRUE,4,0,retained,NA,0.8419531791290962,8.961845830977806e-13,0,2.5343786485675133e-8
Harness control (re-run of primary at 0.58),AEBP1,4,TRUE,4,0,retained,NA,0.8602947395046119,9.021087379348945e-16,0,3.0756840860677184e-10
Harness control (re-run of primary at 0.58),CCDC102A,4,TRUE,4,0,retained,NA,0.8439793924956507,3.8375622832006796e-14,0,1.2247061695901605e-7
Harness control (re-run of primary at 0.58),CHML,4,TRUE,4,0,retained,NA,-0.7544407569081075,3.024635955032376e-26,0,1.993715157269153e-11
Harness control (re-run of primary at 0.58),CLDN9,4,TRUE,4,0,retained,NA,0.8947674507140793,9.599663115588575e-10,20.873847318440315,2.2189135268875725e-5
Harness control (re-run of primary at 0.58),COL25A1,4,TRUE,4,0,retained,NA,-0.8530639470218865,1.258070679756502e-12,0,2.9843910375612844e-6
Harness control (re-run of primary at 0.58),ELOVL4,4,TRUE,4,0,retained,NA,-0.7198293304259896,2.9869160951951116e-14,0,4.586018912330035e-9
Harness control (re-run of primary at 0.58),GAD1,4,TRUE,4,0,retained,NA,-0.7980049119142455,4.862606727552266e-9,0,9.97021131331356e-6
Harness control (re-run of primary at 0.58),GAD2,4,TRUE,4,0,retained,NA,-0.9495209095328488,4.049288390607363e-9,0,4.3007817154762947e-5
Harness control (re-run of primary at 0.58),GFAP,4,TRUE,4,0,retained,NA,0.8272491440489974,4.599502702130926e-13,0,2.0689168729755913e-8
Harness control (re-run of primary at 0.58),HPRT1,4,TRUE,4,0,retained,NA,-0.7788385932641633,8.66033465311784e-13,0,3.456255697803546e-8
Harness control (re-run of primary at 0.58),HSPB1,4,TRUE,4,0,retained,NA,0.9528414575370784,5.860816007123545e-20,0,2.981812193815676e-7
Harness control (re-run of primary at 0.58),ITFG1,4,TRUE,5,1,retained,NA,-0.6324748409528936,7.930793844281712e-13,0,1.8175358223603265e-8
Harness control (re-run of primary at 0.58),KLF15,4,TRUE,4,0,retained,NA,0.7121044720473425,1.6133802069077987e-14,0,5.413937853513137e-9
Harness control (re-run of primary at 0.58),MAS1,4,TRUE,4,0,retained,NA,-1.4811856625824589,3.4260713740612344e-14,0,5.114109076767015e-7
Harness control (re-run of primary at 0.58),NAP1L5,4,TRUE,4,0,retained,NA,-0.8773199621915397,4.8688221334897673e-14,0,4.505147352694848e-9
Harness control (re-run of primary at 0.58),NCALD,4,TRUE,4,0,retained,NA,-0.7806865845731779,2.163513840164324e-10,0,1.9704395015950806e-5
Harness control (re-run of primary at 0.58),NRN1,4,TRUE,4,0,retained,NA,-0.8503450884242201,1.733326350123963e-14,0,7.953337901794241e-7
Harness control (re-run of primary at 0.58),NUPR1,4,TRUE,4,0,retained,NA,0.7691780000933973,4.1507708883886405e-11,0,7.830552370776694e-8
Harness control (re-run of primary at 0.58),OPN3,4,TRUE,4,0,retained,NA,-0.6883535460743788,9.783986698006549e-11,0,2.1656681188247293e-5
Harness control (re-run of primary at 0.58),PIK3R5,4,TRUE,4,0,retained,NA,0.7938203577405716,6.816195279200509e-14,0,4.97699233103111e-9
Harness control (re-run of primary at 0.58),PRELP,4,TRUE,4,0,retained,NA,0.761820511754901,6.451386422695792e-19,0,7.178371178820047e-12
Harness control (re-run of primary at 0.58),PRX,4,TRUE,4,0,retained,NA,0.7713616917615478,4.770625581775175e-11,0,6.294670858474073e-7
Harness control (re-run of primary at 0.58),RAB3B,4,TRUE,4,0,retained,NA,-0.7577744509557559,1.0022338349674005e-8,0,3.123010539618326e-6
Harness control (re-run of primary at 0.58),RAB3C,4,TRUE,4,0,retained,NA,-0.8390488909236082,1.2262612835094598e-13,0,2.8424567207877787e-9
Harness control (re-run of primary at 0.58),RGS4,4,TRUE,4,0,retained,NA,-1.192690383497791,4.2226568846251697e-11,0,2.3186381939012906e-5
Harness control (re-run of primary at 0.58),RPH3A,4,TRUE,4,0,retained,NA,-1.037486211588476,7.252737763171239e-11,22.5949279434785,2.7547759571513264e-5
Harness control (re-run of primary at 0.58),SCG2,4,TRUE,4,0,retained,NA,-0.7751175441723156,8.75579582495117e-12,0,6.4233515203708944e-09
Harness control (re-run of primary at 0.58),SERPINI1,4,TRUE,4,0,retained,NA,-0.7576301223018119,1.0529530155651164e-10,0,2.6528773802515955e-8
Harness control (re-run of primary at 0.58),TCEA3,4,TRUE,4,0,retained,NA,0.6740826553401851,2.6428891552253634e-15,0,1.612689975461709e-6
Harness control (re-run of primary at 0.58),TMPRSS5,4,TRUE,4,0,retained,NA,0.7976140917403818,7.39633247085948e-10,0,1.1752774323003418e-5
Harness control (re-run of primary at 0.58),NEUROD6,5,TRUE,5,0,retained,NA,-1.219348122806311,9.002289047058591e-15,0,1.1477379920119929e-7
P-only reference (no magnitude gate),HSPB7,3,TRUE,3,0,retained,NA,0.8787884982191716,1.1613969041517744e-11,0,1.0778377225357809e-6
P-only reference (no magnitude gate),MRGPRF,3,TRUE,3,0,retained,NA,1.0697407089422342,3.912063982891057e-9,27.22727415914811,0.00112726399115941
P-only reference (no magnitude gate),STAT4,3,TRUE,3,0,retained,NA,-1.0518699015540829,1.0523566845386927e-10,0,7.236932633408088e-5
P-only reference (no magnitude gate),TRIM36,3,TRUE,3,0,retained,NA,-0.6562236840348249,4.5382586555833486e-8,0,1.0737560355064964e-4
P-only reference (no magnitude gate),ADAM33,4,TRUE,4,0,retained,NA,0.8419531791290962,2.974057712722767e-12,0,2.5343786485675133e-8
P-only reference (no magnitude gate),AEBP1,4,TRUE,4,0,retained,NA,0.8602947395046119,3.3724799104486772e-15,0,3.0756840860677184e-10
P-only reference (no magnitude gate),CCDC102A,4,TRUE,4,0,retained,NA,0.8439793924956507,1.25894363062454e-13,0,1.2247061695901605e-7
P-only reference (no magnitude gate),CHML,4,TRUE,4,0,retained,NA,-0.7544407569081075,1.782898483056892e-25,0,1.993715157269153e-11
P-only reference (no magnitude gate),CLDN9,4,TRUE,4,0,retained,NA,0.8947674507140793,2.696467663701239e-9,20.873847318440315,2.2189135268875725e-5
P-only reference (no magnitude gate),COL25A1,4,TRUE,4,0,retained,NA,-0.8530639470218865,4.114164239741519e-12,0,2.9843910375612844e-6
P-only reference (no magnitude gate),ELOVL4,4,TRUE,4,0,retained,NA,-0.7198293304259896,9.490926744037973e-14,0,4.586018912330035e-9
P-only reference (no magnitude gate),GAD1,4,TRUE,4,0,retained,NA,-0.7980049119142455,1.3201606490556822e-8,0,9.97021131331356e-6
P-only reference (no magnitude gate),GAD2,4,TRUE,4,0,retained,NA,-0.9495209095328488,1.1058252187757353e-8,0,4.3007817154762947e-5
P-only reference (no magnitude gate),GFAP,4,TRUE,4,0,retained,NA,0.8272491440489974,1.4318705027299714e-12,0,2.0689168729755913e-8
P-only reference (no magnitude gate),HPRT1,4,TRUE,4,0,retained,NA,-0.7788385932641633,2.8610598170429476e-12,0,3.456255697803546e-8
P-only reference (no magnitude gate),HSPB1,4,TRUE,4,0,retained,NA,0.9528414575370784,1.9199300091839192e-19,0,2.981812193815676e-7
P-only reference (no magnitude gate),KANK2,4,TRUE,4,0,retained,NA,0.7487412220850901,3.3778417138959164e-15,16.582592462253047,2.083104786628493e-7
P-only reference (no magnitude gate),KLF15,4,TRUE,4,0,retained,NA,0.6740632436830439,1.4884831189231436e-14,6.185435565947503,7.11289934933816e-7
P-only reference (no magnitude gate),MAS1,4,TRUE,4,0,retained,NA,-1.4811856625824589,1.1157747435178327e-13,0,5.114109076767015e-7
P-only reference (no magnitude gate),NAP1L5,4,TRUE,4,0,retained,NA,-0.8773199621915397,1.6193327496139132e-13,0,4.505147352694848e-9
P-only reference (no magnitude gate),NCALD,4,TRUE,4,0,retained,NA,-0.7806865845731779,6.24859928717201e-10,0,1.9704395015950806e-5
P-only reference (no magnitude gate),NRN1,4,TRUE,4,0,retained,NA,-0.8503450884242201,5.893668029884779e-14,0,7.953337901794241e-7
P-only reference (no magnitude gate),NUPR1,4,TRUE,4,0,retained,NA,0.6884396808122335,1.879026113811276e-12,0,3.249680264469975e-6
P-only reference (no magnitude gate),OPN3,4,TRUE,4,0,retained,NA,-0.6883535460743788,2.8593707443696235e-10,0,2.1656681188247293e-5
P-only reference (no magnitude gate),PIK3R5,4,TRUE,4,0,retained,NA,0.7938203577405716,2.2269459067629975e-13,0,4.97699233103111e-9
P-only reference (no magnitude gate),PRELP,4,TRUE,4,0,retained,NA,0.761820511754901,2.064809731314574e-18,0,7.178371178820047e-12
P-only reference (no magnitude gate),PRX,4,TRUE,4,0,retained,NA,0.7713616917615478,1.4372610897523468e-10,0,6.294670858474073e-7
P-only reference (no magnitude gate),RAB3B,4,TRUE,4,0,retained,NA,-0.7577744509557559,2.7032555039115844e-8,0,3.123010539618326e-6
P-only reference (no magnitude gate),RAB3C,4,TRUE,4,0,retained,NA,-0.8390488909236082,3.902304894611116e-13,0,2.8424567207877787e-9
P-only reference (no magnitude gate),RGS4,4,TRUE,4,0,retained,NA,-1.192690383497791,1.258854583716935e-10,0,2.3186381939012906e-5
P-only reference (no magnitude gate),RPH3A,4,TRUE,4,0,retained,NA,-1.037486211588476,2.1231233339318488e-10,22.5949279434785,2.7547759571513264e-5
P-only reference (no magnitude gate),SCG2,4,TRUE,4,0,retained,NA,-0.7751175441723156,2.7317039841061355e-11,0,6.4233515203708944e-09
P-only reference (no magnitude gate),SERPINI1,4,TRUE,4,0,retained,NA,-0.7576301223018119,3.091504922342238e-10,0,2.6528773802515955e-8
P-only reference (no magnitude gate),TCEA3,4,TRUE,4,0,retained,NA,0.6740826553401851,9.75303486522448e-15,0,1.612689975461709e-6
P-only reference (no magnitude gate),TMPRSS5,4,TRUE,4,0,retained,NA,0.7976140917403818,2.07655040457906e-9,0,1.1752774323003418e-5
P-only reference (no magnitude gate),ITFG1,5,TRUE,5,0,retained,NA,-0.5867112124597093,6.3997067887765625e-15,0,4.2088222923599474e-11
P-only reference (no magnitude gate),NEUROD6,5,TRUE,5,0,retained,NA,-1.219348122806311,2.9287689819612975e-14,0,1.1477379920119929e-7
