SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
GPS2,3,0.3653698136979471,0.03994779476930116,9.146182306381634,5.898111287245989e-20,0.2870735746883193,0.44366605270757487,0,0,3.417069929433504e-18,9.209408017743163,3.2792842111930814e-20,7.030024935067835e-18,up,1.2726227197242458e-18,7.25115252941782e-18,7.050492758191533e-13,1.70547510211611e-14,3,up,"[0.287, 0.444]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AGL,4,-0.43510388059506455,0.04757533697184344,-9.145576432860002,5.931268922835398e-20,-0.5283498276122346,-0.3418579335778945,0,0,3.417069929433504e-18,-8.372912441554222,5.621137196988301e-17,1.6219673066919e-15,down,1.4723264060907114e-17,7.052205464739342e-17,1.637560455742809e-9,8.686914996743508e-19,4,down,"[-0.528, -0.342]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BCAS2,3,-0.49046182823498935,0.05371933226329846,-9.13008050492983,6.844837548973856e-20,-0.5957497847445948,-0.3851738717253838,0,0,3.836808939613994e-18,-9.028203703063737,1.745127466117481e-19,2.661229430805131e-17,down,1.5409173242318839e-18,8.660874066278935e-18,4.5431883949706605e-11,7.270935461672707e-16,3,down,"[-0.596, -0.385]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PEX6,3,0.5499381724077895,0.06033205598059246,9.11519031581972,7.853251576672215e-20,0.4316895155725739,0.6681868292430051,0,0,4.286222044741625e-18,8.027007238951605,9.987919345932906e-16,6.721624338718814e-15,up,3.4592349766338586e-18,1.834898552823177e-17,3.9262605309826986e-5,5.547445216757867e-19,3,up,"[0.432, 0.668]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DLG5,3,0.46898124323985585,0.05148154497251896,9.109696367702249,8.261284960265598e-20,0.3680792692252396,0.5698832172544721,0,0,4.393308976305345e-18,8.559251124875567,1.1360302038037012e-17,7.708329713148785e-16,up,3.1876350527128637e-18,1.7039059534346595e-17,1.5061286737734377e-8,1.5865270264362263e-18,3,up,"[0.368, 0.570]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DDHD2,3,-0.4921348470598093,0.05418850164208054,-9.081905425442468,1.0669045699397852e-19,-0.5983423586544767,-0.3859273354651419,0,0,5.531900195137786e-18,-7.571134452701986,3.6997887601958415e-14,1.988636458605265e-13,down,7.15492765049536e-18,3.558589915378268e-17,5.266358192261372e-4,1.86343725732706e-18,3,down,"[-0.598, -0.386]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PPEF1,3,-1.3872613708606882,0.153118883362232,-9.0600280017642,1.3041707168681393e-19,-1.6873688676036522,-1.0871538741177242,0,0,6.597195284840294e-18,-8.141537420809454,3.902898719416375e-16,2.7782328131668443e-15,down,4.2347603381591256e-18,2.1793779010774254e-17,1.4855994339459736e-5,8.344936131346396e-19,3,down,"[-1.687, -1.087]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SUB1,4,-0.5795823467971398,0.06416886136784533,-9.032143230260983,1.6834189593301668e-19,-0.7053510040070603,-0.45381368958721935,0,0,8.312883146787537e-18,-8.605970327234182,7.56738412619872e-18,5.407572270276882e-16,down,3.8810981519722327e-17,1.7536813871874535e-16,4.458454979368447e-12,5.0401736649470106e-18,4,down,"[-0.705, -0.454]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MYH9,3,0.4992894843815808,0.05538881330326365,9.014265780490398,1.9819358264535904e-19,0.39072940516077104,0.6078495636023906,0,0,9.55938349782499e-18,8.04594169409177,8.558473491664896e-16,5.817874075767792e-15,up,6.156232528894137e-18,3.0840643151996226e-17,2.589252026500973e-5,4.6261979167591366e-17,3,up,"[0.391, 0.608]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NDFIP1,3,-0.6441321573193991,0.07155565523120751,-9.001834379660243,2.2197724297153465e-19,-0.7843786644627309,-0.5038856501760673,0,0,1.0310736409532755e-17,-8.800323515068861,1.3642230070588558e-18,1.3019088206719094e-16,down,8.345189633485119e-18,4.1209341190114614e-17,9.067728414172732e-11,9.909924823645559e-17,3,down,"[-0.784, -0.504]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZNF711,3,-0.5620505735520414,0.06244327265843035,-9.000978802416435,2.2371414581917737e-19,-0.6844371390393795,-0.4396640080647032,0,0,1.0310736409532755e-17,-7.836908895893837,4.617728319811749e-15,2.8190440489746342e-14,down,1.2700999649095488e-17,6.140296800052224e-17,1.907300095189977e-4,3.904722583047225e-18,3,down,"[-0.684, -0.440]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
