study_id,SYMBOL,logFC,SE,P.Value
GSE278723,AFTPH,-0.57107429505753,0.0977885917674241,5.223633891251053e-9
GSE278723,AGAP1,0.33359122976552497,0.11143490358317125,0.0027570955478456926
GSE278723,AGAP2,0.7168930036726692,0.10107817976049271,1.317481929917805e-12
GSE278723,AGAP3,0.41518938443119374,0.06433344089236438,1.0914442751654249e-10
GSE278723,AGBL3,-0.7828530184993715,0.08122214726796606,5.50293987038824e-22
GSE278723,AGBL5,0.4360816476623409,0.09453370893052923,3.969458259024391e-6
GSE278723,AGFG2,0.7320908697371824,0.09270056609126721,2.8484491649046836e-15
GSE278723,AGGF1,-0.5103730408799907,0.047945029640521004,1.8405844126404067e-26
GSE278723,AGK,-0.382668769696634,0.16612804426817118,0.02125315629648674
GSE278723,AGL,-0.46329473959513323,0.06712823949922318,5.140667058616126e-12
GSE278723,AGO3,-0.837303265766819,0.07445188451490704,2.4169463665339547e-29
GSE278723,AGO4,-0.3364709846763829,0.05625567139216878,2.2163118835294823e-9
GSE278723,AGPAT1,0.6955333270943476,0.07284581584287653,1.3219826935140915e-21
GSE278723,AGPAT2,0.5856631848364418,0.09801336788956247,2.2961098146303726e-9
GSE278723,AGPAT3,0.6041829796496494,0.07240277384132977,7.136524988832462e-17
GSE278723,AGPAT4,-0.5502390268847472,0.1391722167017376,7.69661418441526e-5
GSE278723,AGPAT5,-0.519415764154057,0.15411689048499164,7.509415555591443e-4
GSE278723,AGPS,-0.7257767915535308,0.0630299629688641,1.1112984893231699e-30
GSE278723,AGRN,0.71946694607354,0.09518325530866026,4.0694429369956326e-14
GSE278723,AGT,1.0131110912981058,0.09932993865958425,1.9939126003220545e-24
GSE278723,AGTPBP1,-0.8494199479513026,0.1043342413467082,3.9094498957446046e-16
GSE278723,AGTRAP,0.5727731011716177,0.10892262457511388,1.4520996097738523e-7
GSE278723,AHCTF1,-0.44987536956767304,0.07064920385942977,1.918406723206927e-10
GSE278723,AHCY,0.3806842464080947,0.05109109253998316,9.25733121569316e-14
GSE278723,AHDC1,0.741428297679265,0.07458206353236349,2.7574468996323103e-23
GSE278723,AHI1,-0.5543193443364418,0.10884301150865273,3.5275130834150834e-7
GSE278723,AHR,-0.5232583460876383,0.08020695397695507,6.852404830245055e-11
GSE278723,AHRR,0.800348118221725,0.17625308099652873,5.601383908411108e-6
GSE278723,AIFM2,0.4237188151646597,0.08464975112559431,5.570188522878495e-7
GSE278723,AIFM3,0.9692868661238911,0.11567580958977589,5.322559774719787e-17
GSE278723,AIG1,-0.6469562215024156,0.07055292140159873,4.738947779576051e-20
GSE278723,AIP,0.864588914204441,0.05359624107389918,1.531993147064921e-58
GSE278723,AK1,0.5817485247670217,0.07713229487521067,4.620471626397328e-14
GSE278723,AK2,-0.31475003384814465,0.07176422742038213,1.1551229339932855e-5
GSE278723,AK3,-0.29554636455294214,0.0907585900496869,0.0011283426629202869
GSE278723,AK5,-0.476918729538478,0.21974997710321645,0.029985727186203057
GSE278723,AK6,-0.5835420661910092,0.12831842173119223,5.425870650495265e-6
GSE278723,AK8,1.0153167879655,0.33359434560161677,0.002337912666786076
GSE278723,AK9,-0.7563087780420674,0.06373021625634628,1.749210745324553e-32
GSE278723,AKAP1,0.34127245444502113,0.077367948927319,1.0287938174205008e-5
GSE278723,AKAP10,-0.48452399237071275,0.04670833721510149,3.276750029982266e-25
GSE278723,AKAP11,-0.5998493844867656,0.06859526076250734,2.2348175440103498e-18
GSE278723,AKAP13,0.360619699564932,0.15281574534494521,0.018283143925247568
GSE278723,AKAP17A,0.6945726648351732,0.09350880382693451,1.103476192639356e-13
GSE278723,AKAP6,-0.3292085905938068,0.0802746255821694,4.1131649135577346e-5
GSE278723,AKAP7,-0.6450513271075337,0.06897633703886634,8.618727591615303e-21
GSE278723,AKAP8,0.366851971606766,0.15326410155743805,0.016684224021525057
GSE278723,AKAP8L,0.5207164717712133,0.09693864172325563,7.803721247578173e-8
GSE278723,AKAP9,-0.49562605369034346,0.16167592474137008,0.00217268147072431
GSE278723,AKIRIN1,-0.5101790435960775,0.07068650518327774,5.295644285122137e-13
GSE278723,AKIRIN2,0.5360661329723979,0.06603814585523356,4.757967259869159e-16
GSE278723,AKNA,0.441358389526642,0.19673741098656075,0.024871791098655692
GSE278723,AKR1A1,0.4442926355437396,0.0628194336296137,1.5212872733453572e-12
GSE278723,AKR1B1,0.34215311288643274,0.08380661986461434,4.452501753100469e-5
GSE278723,AKR1C2,-0.610968464053853,0.28677644427390137,0.0331328723545618
