SYMBOL,K,K_used,Z,P,Dir,FDR
COPS8,3,3,-8.667513515858559,4.4165922913640814e-18,down,3.460699678353775e-16
GLOD4,3,3,-8.666560536749861,4.4536996546423044e-18,down,3.472326935741873e-16
SLC25A40,2,2,-8.663875758826343,4.559903233965825e-18,down,3.5374413496133886e-16
RCOR3,2,2,-8.661276430321502,4.665107306536857e-18,down,3.5904598738673695e-16
TMEM120A,4,4,8.661052096252384,4.674298431315821e-18,up,3.5904598738673695e-16
SCAMP2,3,3,8.658370718822278,4.785549806798409e-18,up,3.6578959871278233e-16
CCDC97,2,2,8.657681361590454,4.814571357035707e-18,up,3.662127374158916e-16
STAU2,3,3,-8.654595279280663,4.946638014046043e-18,down,3.7443168229621336e-16
SH3BGRL2,2,2,-8.649827190447864,5.1577473588642e-18,down,3.8852538438052885e-16
TAC1,3,3,-8.645600650555053,5.352299631188288e-18,down,4.012423468707643e-16
SLC35B4,4,4,-8.6405383942388,5.594873415422424e-18,down,4.1742038835732946e-16
NUDT21,3,3,-8.627551478259354,6.26793277014647e-18,down,4.635705903935145e-16
ACTR6,3,3,-8.627130015544981,6.291064672484e-18,down,4.635705903935145e-16
ARL1,3,3,-8.626919804090633,6.302633563998273e-18,down,4.635705903935145e-16
ZNF540,3,3,-8.625741171249082,6.367889100111876e-18,down,4.660373419763639e-16
EDEM1,2,2,-8.624791743856644,6.4209391669559846e-18,down,4.660373419763639e-16
RLIM,3,3,-8.624704533617711,6.425833933490556e-18,down,4.660373419763639e-16
LYRM9,3,3,-8.61813398894927,6.805401991241113e-18,down,4.912807094880679e-16
NECAB1,5,5,-8.61289829745133,7.123628582050146e-18,down,5.109890362054331e-16
SYAP1,2,2,-8.612571844779522,7.14394984241547e-18,down,5.109890362054331e-16
SFXN1,2,2,-8.60749506631533,7.467436446688956e-18,down,5.316882945809173e-16
SUB1,4,4,-8.605970327234182,7.56738412619872e-18,down,5.363555485446211e-16
DPP9,3,3,8.60127207732812,7.883733958015613e-18,up,5.562491565942871e-16
CDC7,3,3,-8.599982976153447,7.972792475958188e-18,down,5.5999888773700905e-16
CNNM3,3,3,8.597321503332573,8.159815426512058e-18,up,5.705650311461996e-16
SGTB,3,3,-8.595924553763105,8.259705816225402e-18,down,5.749713963946549e-16
ITPK1,3,3,8.588579568592642,8.805108324634128e-18,up,6.102135738045331e-16
ZNF592,4,4,8.582176979631093,9.309426256752513e-18,up,6.4068425599307e-16
FAM204A,3,3,-8.58196055633135,9.326962490247347e-18,down,6.4068425599307e-16
UCKL1,3,3,8.577579315763684,9.689056631716998e-18,up,6.626379827121191e-16
TCF3,4,4,8.574962807448028,9.91188216003213e-18,up,6.749169367745896e-16
ODF2L,2,2,-8.573796876137738,1.0012796271024949e-17,down,6.788240532786609e-16
C2CD5,3,3,-8.564678067599468,1.0837822344421589e-17,down,7.315764667383802e-16
PPP1R1A,3,3,8.562785451605244,1.1017283770503107e-17,up,7.404849389373059e-16
DLG5,3,3,8.559251124875567,1.1360302038037013e-17,up,7.602626166485456e-16
MRPS23,3,3,-8.558373194209256,1.144712943406252e-17,down,7.627995267749439e-16
CLTB,3,2,8.550956438502281,1.2207269279214388e-17,up,8.099912760459147e-16
FXYD5,3,3,8.54940108890377,1.2372884886786e-17,up,8.175016696595512e-16
BIVM,2,2,-8.54879430185596,1.2438095898616108e-17,down,8.183427398612699e-16
RING1,2,2,8.546390071461193,1.2699827990982612e-17,up,8.320521758966046e-16
HSPB1,4,4,8.543599508272205,1.30104383134883e-17,up,8.488358352394271e-16
RBCK1,2,2,8.54228334711602,1.3159526901961336e-17,up,8.549854290928463e-16
TMEM65,2,2,-8.540194877882037,1.3399566039467269e-17,down,8.660465436360979e-16
PCED1A,4,4,8.539839360595533,1.3440855740392208e-17,up,8.660465436360979e-16
ZNF768,4,4,8.536568767456027,1.3826640425960675e-17,up,8.872378772098963e-16
MICU3,3,3,-8.532915331573276,1.4270512949644943e-17,down,9.11967657474646e-16
TATDN3,3,3,-8.531369990523586,1.4462468320434516e-17,down,9.204623204919811e-16
CUL2,2,2,-8.530344114925787,1.459130285862058e-17,down,9.248869328230516e-16
LIAS,2,2,-8.527980629036337,1.4892447063993102e-17,down,9.401535508860098e-16
CCDC43,3,3,-8.526696069308622,1.505868358949211e-17,down,9.468147306893164e-16
SNRPD1,3,3,-8.525081910235102,1.5270172104572513e-17,down,9.562561993036111e-16
STAT5A,2,2,8.524538000362869,1.5342093737583815e-17,up,9.569170706005777e-16
DPP8,3,3,-8.52189383208202,1.569652448770582e-17,down,9.751231328159236e-16
ACTR2,5,5,-8.519636466127357,1.600549158431753e-17,down,9.90123357663881e-16
ZNF519,2,2,-8.519206785190107,1.606497848322721e-17,down,9.90123357663881e-16
PIAS4,2,2,8.518387881223596,1.6178955846387005e-17,up,9.915510219772238e-16
VEGFB,3,3,8.518127797877234,1.6215321657422692e-17,up,9.915510219772238e-16
MFSD8,3,3,-8.51087855015791,1.7262037130267305e-17,down,1.0514333787978833e-15
MXD4,4,4,8.50849126991815,1.7621116478012802e-17,up,1.0691286740920374e-15
TMCC2,4,4,8.505429432095179,1.8092464312488016e-17,up,1.093472077614828e-15
