"","AD-21","AD-20","AD-23","AD-22","AD-26","AD-24","AD-27","AD-25","AD-29","AD-31","AD-28","AD-30","HCO-18","HCO-11","HCO-19","HCO-13","HCO-15","HCO-16","HCO-12","HCO-14","HCO-10","HCO-17","HCY-2","HCY-4","HCY-6","HCY-8","HCY-9","HCY-3","HCY-5","HCY-7"
"FOXJ2",5.29427992479141,5.21762057402277,5.26976810647711,5.37274877017092,5.13517652180732,5.73364332384044,5.3114541508793,5.5848825635058,5.33892815968306,5.27937391382006,5.44456153244533,5.24768484254351,5.38703195989438,5.65926748538414,5.21672203384804,5.27948796740307,5.25886361583118,5.56105733426188,5.21841492271161,5.37395908467876,5.44992233159196,5.2631554339959,5.43031751033448,5.16208202954425,5.32531829229704,5.68779173776435,5.33746294857178,5.36071034485332,5.35852898429991,5.33819372939387
"C3AR1",3.50709027369859,3.62629942514695,3.67545115911771,2.84468564333711,2.25515276158734,1.34520930005337,2.53224549231078,3.01152758198344,1.40630643690875,3.2474114173289,4.00796408546792,3.36596922098305,3.2428005926436,1.66027163821905,2.27493600632307,3.24758714374136,2.39898616525539,2.32578116319019,2.09739966342571,1.65688044694128,1.76813337981552,3.91654130144436,2.14235765433546,2.88838850553176,0.535597660213642,3.46795993712525,-0.247805190327447,3.4047469991133,2.74922677098798,2.70745850199193
"FAM90A1",4.4379965889567,4.10513303784764,5.05489717342378,4.09261004791511,3.91702241654751,4.88923202830349,4.36324629617551,4.89796677878835,4.62602286980701,4.614733880439,4.59328226809429,4.49664623230348,4.28143644272373,4.17995915611181,5.08543202763049,4.42384538934564,4.96968631331961,4.60934600467496,3.44808665398582,4.71992859481921,4.11264576283162,3.10836357353811,2.9669422255462,2.99325187119879,3.87893854629816,3.03099374604125,4.94240777559386,3.94289851355914,3.81844506673635,4.7028934083753
"FAM66C",4.18431489308543,4.02266033790293,4.19196286455994,4.60340836166293,4.17006657746077,4.17880507633291,3.89471163084931,4.74638054962396,4.58020368503023,3.84945052720968,4.39900724478141,4.01141011741608,4.46648680140271,3.72657039358831,4.52856791917022,3.97010058393966,4.53339845529548,3.96164268547891,4.52838522624784,4.65599120662959,4.25065847937243,3.83788705821226,3.63582028384723,3.60282005698712,4.2289680388755,3.85323665667165,4.68566814491333,4.69445682753052,4.26882071390185,4.80325106803959
"A2ML1",3.75705377959309,4.17680270544483,4.15968049569174,3.3560100931534,4.21939624431624,4.17880507633291,4.63276867040385,2.63109653080011,3.40965874053377,4.21585253720104,3.93390733570648,3.81706805303053,3.44240164784686,3.10016782452409,4.34301680634936,4.06093095732897,3.8975935322119,2.22211773503704,2.23929761676302,3.69019333688322,3.04514308210935,2.32725244668349,1.43981323186528,3.00583967208811,2.69603741813534,1.35386995867275,1.7973882180815,3.23967911802469,2.76355993805533,2.43455494428465
"M6PR",4.85472518989869,5.00138012641267,4.7897258528969,4.963547910767,4.51934588330404,4.08470566246327,4.60797242646656,4.7418065540819,4.57502166229791,4.73701741933511,5.05582049629591,4.93709334133208,5.17313099683162,4.62457229901329,4.66256292029804,4.97822716039238,4.90859395258375,5.19277991104313,5.11480334336367,4.86620386015402,5.26953211401035,5.32213325988975,5.30368616798148,5.5622032294788,5.44374248340106,5.37676998706872,5.2041708210855,4.94414310103545,4.9708920738506,4.79547441511619
"PHC1",3.57375712708172,3.11825396221374,3.69360322089765,2.9006700487254,3.14469528323015,3.37432830391939,3.57466270983699,3.54011084574415,3.5536004200577,3.34531660064769,3.37350307663179,3.56704039613992,3.37203633369901,3.22144229280307,3.86234217501971,3.55157901394213,3.93411669062469,3.23159332411707,2.93928718240074,3.4561019884295,3.57829510880376,2.86565139540559,1.93013318755483,2.789931661577,3.27523367390233,2.87727004713676,3.41919021026018,2.66062643998116,2.56510689945524,3.00587886397382
"KLRG1",1.97494466936504,1.84141760575973,2.01471160518487,1.80256585571968,1.96822337487878,2.51287025596165,1.79059323816293,2.27367698676563,1.91286327965165,2.08585633250706,1.72143395188007,1.89606782820344,1.88751693304418,1.39745136123135,1.51752412886914,1.03611564070082,1.04582694499544,1.36749307353498,2.54285615530926,1.06955211753292,1.07288817883115,1.271711072119,1.28590276418513,1.99465830685154,0.679862050894745,1.52928354689592,1.02261772332142,1.03934696374133,1.23879779693743,1.93732974365311
"LINC00612",2.29775856600748,1.10387826634831,1.83012439145537,2.20956331779347,2.25515276158734,2.2448531859202,1.87615259145739,2.4410290190089,1.87962316016884,2.43622388291121,1.31766100036773,2.02587903619238,1.3735483942946,2.39680887932467,1.8764368223928,0.990627274138064,1.90529692093979,1.64909463346747,1.44960466966267,2.07309940728538,0.915757193338775,0.689964621347043,0.362214191696759,0.972032191417496,0.609532345725681,1.7579231766023,1.19312749675801,0.964365328260461,1.50077072203827,2.56835162342917
"A2M-AS1",2.51689687706669,1.59733351081522,2.52095524598444,2.39640277659737,2.0523027817319,2.53493647854967,1.95692065139256,2.32350504310982,2.18188690658023,2.96892250188396,2.18583447196696,2.21197174257815,1.67015519502739,2.24487718688912,2.37828248455773,1.16456046424033,1.84519433272552,1.91151348113855,2.1935316754926,2.10291905360838,2.09574077747732,1.71478652356586,1.70570397914084,1.77693708431095,1.77876159537507,1.82673647205803,1.86624406431176,2.66062643998116,2.17256002502613,2.37318338221205
"A2M",7.3971174435008,7.6610222462308,8.39301317003987,8.20096610958045,7.51815432189675,7.66235902276641,7.9979235838793,8.07368089780774,6.79297773581344,7.77456573155545,8.51113050483487,8.0317998061018,7.76534476837519,7.26196561096561,9.44905604502237,8.45864416818221,8.48676115267314,7.22910058702373,8.08950586224879,8.26764883708389,7.43840375368379,8.27093226843289,7.43250295352732,6.88356279756633,7.28424903934053,7.53177486168228,7.39776953361061,8.83552597439408,8.01308539594096,7.72136113750622
"LINC00987",2.72676139468655,2.07761483690381,2.67507390360563,2.88687629883358,2.81633917040724,2.46769872878738,2.17519052816369,2.72678492497375,3.23668008284071,2.50138721577632,2.78146930028198,2.69048284861209,1.85839938523054,1.51599443223824,2.71082759039525,2.00857707297542,2.29048570560553,2.51312642325348,2.38892935844956,2.71823048921781,2.1199591527997,2.28834319043746,2.79500549329483,2.40899275968995,2.57207515666392,3.91774749873925,1.34559823719867,3.86258585791712,3.94331497144735,2.43455494428465
