"","01.CA2","02.CA2","03.CA2","04.CA2","05.CA2","06.CA2","07.CA2","08.CA2","09.CA2","10.CA2","11.CA2","12.CA2","13.CA2","14.CA2","15.CA2","16.CA2","17.CA2","18.CA2","19.CA2","20.CA2","21.CA2","22.CA2","23.CA2","24.CA2","25.CA2","26.CA2","27.CA2","28.CA2"
"HOOK3",7.05526509955019,7.51241518113095,7.32023355980196,7.60895063014697,7.09751953474744,7.36944539092784,7.02069768534273,7.27472351569496,6.87783739550537,7.31243740532576,7.51860961099117,7.39388066860413,7.59699888472583,6.99149717873729,6.32014154365462,6.34562076895895,6.71558963555802,6.70453398869442,6.33774716119109,6.58982818521487,7.28106701600139,6.59832443626697,6.7246984210931,6.48369383380855,6.61817180342933,6.36408787082384,6.31702045546901,6.31658382136915
"MAPK1IP1L",5.86079167543023,5.734725621682,5.4635988831605,6.28514156020812,5.61156778179208,6.13984833163242,5.60930561598226,6.24241739830161,5.25220288336124,5.86566013562251,5.58005486700549,6.03779788746477,5.86405279402831,5.84346355192236,5.20595196756436,5.31046895571487,5.77262390367164,5.36570723051519,4.99985602003924,5.37342864304234,5.2803921862911,4.6794445687658,5.26407164396972,5.32453598849082,5.71326869730504,5.07251438057414,5.5183918103306,5.5779856788058
"DDIT4",5.92782268876378,6.44022115450667,5.9185047957105,5.03275313290727,6.4160644590838,6.9619317465593,6.06204950665132,6.10693015119532,8.0551063867484,7.08555866381113,6.09696716868353,5.8076116934612,7.06041574811115,7.55227176487171,8.48301729732552,6.96123431745022,6.09295438762118,7.61607849607671,7.1140981281939,6.60240172719619,6.50433697966053,7.29338222970725,7.30860918361721,6.42238449403178,7.35803467434685,6.63168980943704,6.95454824885366,6.59391130148688
"RBPJ",6.59112899946739,6.53493565545169,7.22549722765932,6.66307873003745,6.81138579412376,6.34467195060008,6.08408534039577,6.52901103027696,6.1056554859899,6.81726957114246,6.92913460961176,6.89769922365941,7.03093369668849,6.0915175984323,6.08067340045293,5.56260132510953,5.9411243896677,5.46973188765326,5.81741266856974,5.14920536872392,6.46328362849084,5.86921875118134,5.95728802095176,5.70134051975053,6.07683270578452,5.9316907501968,5.99398978062022,6.3111712791799
"LMBRD1",5.60983473170653,5.06024200057061,5.20181819454573,5.88733274167788,4.72991815035191,5.6749985932488,5.3172417686452,5.45475319318221,4.98800162229418,5.52632619605395,5.95985252742333,5.43377863990783,5.30260902575675,5.15980530506102,5.20595196756436,4.32162632228363,5.58456253979466,4.4508799586294,4.61286401475907,3.88720187790301,4.7502854769312,3.62716601944813,2.87168877445517,3.93069083575194,5.75681311721296,4.95414074715472,5.04502983013767,5.27407880870442
"ZCCHC4",3.2354089948262,2.71261887815272,3.43581065652745,3.76299298375491,-3.76194466597213,2.94402995570179,2.9417433289087,3.16026497563924,3.18728315432869,3.24888041835912,3.88876567073046,3.44114068845288,3.23276710115566,2.81637301959569,2.48861516589509,2.7132915992589,2.75595321854584,2.83972814462442,2.77389142617347,2.39572765228821,1.99711326292008,2.68760320911538,2.54172809092823,2.66353681085268,3.13840570166098,2.26518040818614,2.45118381353398,2.90219841948076
"TTC39C",5.49664319302332,5.63561759308971,3.08052873732892,5.32969150660577,4.26578042195925,5.90550126255237,5.77289655428247,6.23195050186676,5.00174263280488,5.63747186577218,4.7371695100702,5.89496284352124,4.90185667196777,6.2258290219969,4.74416255152156,4.80955770986415,5.25006362100393,4.91125553894608,4.99123706323324,5.2632343507023,5.01353646791568,4.0858597273605,4.24002925375147,4.39645511321066,5.60810864519611,4.82517931407964,5.07522079561002,4.50445300948738
"GLYCTK",1.98410311144342,1.66316442925482,2.74149996441688,1.7078937670951,1.89676884233461,1.02902592239866,2.56930206159456,0.0824966890022737,0.738261543629676,2.03309000356917,1.89947036400408,2.22295179991674,2.20616787598046,2.27086032547481,2.91581357738569,2.29793044533598,2.20294000940341,2.7026201136207,1.40415035718471,2.1008233106199,2.13219298300317,2.40739425778583,2.21460008707633,2.41152474232967,1.04239476690872,2.84908209581192,2.68272917258681,2.60944943083596
"GNG4",5.77150211062744,5.04100581678095,3.61337116061817,5.53666246798276,5.57060325354432,4.30775731915611,5.77018072258109,6.0977361986058,3.48012929903247,5.06068579486438,4.34722018531129,5.61523782955827,5.57190970101745,5.54175723622379,4.92203831358484,5.18595595281942,4.96733030737353,5.73148539336802,4.64068674911642,5.83010593133558,4.52942593609014,5.32026679419935,5.00925477015368,5.0052999229361,5.32012169753343,5.49620640063339,5.05883136681895,4.17323227808714
"UBTD2",3.01824913264441,3.54976254730649,3.02927243928284,3.15756511143804,3.40158456615544,3.97707041151547,2.84181703314114,3.63722136605338,3.6641955212005,3.41340304033732,3.59003165265553,3.77169881111865,3.50643281934052,2.96426488377785,3.53488884275129,3.02160058543128,3.79637816682932,3.04274098828212,3.70415661718166,2.82343832612792,4.23890243484488,3.16098716719858,3.04688907620937,2.96396410065439,3.86221717882457,3.43333695421293,3.66000846175296,3.17435293650773
"POLR2J3",4.52190564284206,4.34016426023137,4.76442349902874,0.992468469010125,2.79027030283152,2.10933136888592,3.46948194271337,2.15448469465384,4.60253976535261,4.67246069686883,3.22998250800157,3.8235111917994,1.53423664375757,2.62217583990354,3.37292801336721,3.44029934933787,3.53107135403549,3.16086492861583,4.16136124809234,2.34137322094213,2.61989766456549,4.25006759996419,3.31007019593486,3.18589956600716,3.51770564172876,4.1544784673196,3.66000846175296,3.3194378201237
"NKIRAS2",2.76250857208385,3.03129867758514,3.06024421549817,3.08186178416323,3.63141849265219,3.27239841941528,3.07094334552594,3.14249175342145,2.93853808449002,2.29661251437351,3.56323121778971,2.99362365198261,3.35892464181876,2.76350336326189,3.25830596874616,3.3213078693015,2.68586233537272,2.97488844337899,3.93739745299954,3.63943621442205,3.41320141420197,3.54521003982553,3.69928585659203,3.19481576370161,3.13840570166098,3.41638062855095,2.91898728472357,3.2212786050731
"DNAJC7",5.46904600271523,5.17645377261426,5.24289425163275,5.08797389948609,5.00053301553873,5.85583642865407,5.71758410444861,5.86015067330705,4.7804728093924,5.45797644861015,5.16464428755041,5.48615818968866,5.22425772133274,5.72747721272262,4.87526779466933,5.09324767049021,5.27925816691259,5.38450818445704,4.99985602003924,5.06505722572765,5.43865332667925,5.0434631549513,5.31348025732154,5.15443493174773,5.19783031817816,5.1204163196197,5.01984938135484,5.12411064596798
"IRF2BP2",6.49335907987305,6.94164109613736,7.11675252500736,6.74512175867577,6.55555566020273,6.59084122770107,6.04866461834664,7.50602286034093,6.81014521638862,6.63878026716881,6.55533766561831,6.76088899665249,6.95019078623866,6.55235129484157,7.31788689868916,6.81474276820421,6.21795233933672,6.52723618637825,7.35483542955856,6.54643963874267,7.74353051052553,7.10202879358816,6.85506121429908,6.13220430245829,6.34364200317188,6.78652122229119,6.66801810762543,6.85572159216936
