"Gene","Region","statistic","p_value","FDR"
"COL25A1","OCCIPITAL LOBE",-2.20027125112159,0.0333406621275849,0.0585359744028077
"RAB3C","OCCIPITAL LOBE",-2.47553705363668,0.017420574628082,0.0585359744028077
"SERPINI1","OCCIPITAL LOBE",-2.31354646461791,0.0256585467303376,0.0585359744028077
"STAT4","OCCIPITAL LOBE",-1.95070204634507,0.0577857780394691,0.0714659269702897
"SCG2","OCCIPITAL LOBE",-2.37373587868343,0.0222582554771485,0.0585359744028077
"TMPRSS5","OCCIPITAL LOBE",1.47359730780575,0.148046024281019,0.161108908776403
"RGS4","OCCIPITAL LOBE",-2.14772440191789,0.0375514334032522,0.0604088276487101
"PRX","OCCIPITAL LOBE",2.84967200040515,0.0067530638542993,0.0431282497987076
"RAB3B","OCCIPITAL LOBE",-2.22736587312485,0.0313374386064112,0.0585359744028077
"NCALD","OCCIPITAL LOBE",-1.82832715105304,0.0746086018644158,0.0862661959057307
"OPN3","OCCIPITAL LOBE",-0.544947312532032,0.588671974097376,0.588671974097376
"CLDN9","OCCIPITAL LOBE",1.95733773896055,0.0569752145328323,0.0714659269702897
"TRIM36","OCCIPITAL LOBE",-0.817654794385606,0.418168866028754,0.429784667862886
"GAD2","OCCIPITAL LOBE",-1.89784198992824,0.0646043495148774,0.0771084171629182
"MRGPRF","OCCIPITAL LOBE",3.00088443775476,0.00451546566485062,0.0431282497987076
"GAD1","OCCIPITAL LOBE",-2.40364665355017,0.0207242845255531,0.0585359744028077
