"Gene","Region","Low(<=3)","High(>3)","log2FC","signed_FC","p_value","FDR"
"PIK3R5","LATERAL TEMPORAL CORTEX",1.70113065514678,2.49655348505668,0.795422829909899,1.73558597113768,0.062105306889441,0.082067726961047
"PIK3R5","OCCIPITAL LOBE",1.89843840449313,2.32412818545687,0.425689780963746,1.34321456666257,0.235959522546025,0.24944292383437
"PRELP","FUSIFORM GYRUS",4.85257599971927,5.14594343619386,0.293367436474584,1.22549741110264,0.165357278767882,0.197361913368117
"PRELP","HIPPOCAMPUS",4.74737582251256,5.05100145023464,0.303625627722086,1.2342422855228,0.27138071532939,0.616010486421672
"PRELP","LATERAL TEMPORAL CORTEX",4.75860626691476,5.5354448106564,0.77683854374164,1.71337215027493,0.0200171436704287,0.0435667244591684
"PRELP","OCCIPITAL LOBE",4.43721451220741,5.47515756766909,1.03794305546168,2.05329804422389,0.0142897680818616,0.0540383683470825
"PRX","FUSIFORM GYRUS",3.00364079983757,3.46688656342281,0.463245763585238,1.37863998475812,0.0207449411203944,0.0319817842272748
"PRX","HIPPOCAMPUS",2.79256675282704,3.55708693765828,0.764520184831243,1.69880491147567,0.168296541213147,0.616010486421672
"PRX","LATERAL TEMPORAL CORTEX",3.10309324351119,3.90243279277499,0.799339549263808,1.74030425107825,0.0374186513485707,0.0571131657994551
"PRX","OCCIPITAL LOBE",2.57512714642365,3.85901172892789,1.28388458250424,2.43493723136112,0.0067530638542993,0.0431282497987076
"RAB3B","FUSIFORM GYRUS",4.21181138671683,4.00650414220296,-0.205307244513872,-1.15293185555886,0.440936985787497,0.453185235392705
"RAB3B","HIPPOCAMPUS",4.84386453793422,3.74447725781461,-1.09938728011961,-2.1426367431455,0.0709222696563641,0.616010486421672
"RAB3B","LATERAL TEMPORAL CORTEX",4.62814615290241,4.20272341297239,-0.425422739930019,-1.34296596234812,0.600264715385158,0.600264715385158
"RAB3B","OCCIPITAL LOBE",4.73008009294626,3.94462497445621,-0.785455118490052,-1.72363597893672,0.0313374386064112,0.0585359744028077
"RAB3C","FUSIFORM GYRUS",5.99292009662924,5.30755623664694,-0.685363859982303,-1.60810750876159,0.0118509710182248,0.0222808938713824
"RAB3C","HIPPOCAMPUS",5.94022426316514,5.39065499710405,-0.54956926606109,-1.46364864081691,0.135503681465321,0.616010486421672
"RAB3C","LATERAL TEMPORAL CORTEX",6.06716021758345,5.5464374539804,-0.520722763603048,-1.43467381312277,0.330833155581465,0.348973694337348
"RAB3C","OCCIPITAL LOBE",6.13788594080914,5.26232958290322,-0.87555635790592,-1.83471548585306,0.017420574628082,0.0585359744028077
"RGS4","FUSIFORM GYRUS",6.86347976317799,5.80890202103372,-1.05457774214427,-2.07711017480032,0.000335209310761155,0.00341419765402133
"RGS4","HIPPOCAMPUS",5.96446157046408,6.56906412004175,0.604602549577667,1.52055979402293,0.320944504497766,0.616853871405874
"RGS4","LATERAL TEMPORAL CORTEX",6.80381861577322,5.51087719165691,-1.29294142411631,-2.45027117659332,0.0173343451798751,0.0427580514436919
"RGS4","OCCIPITAL LOBE",6.76873851829769,5.63786747476175,-1.13087104353594,-2.18990918603312,0.0375514334032522,0.0604088276487101
"RPH3A","FUSIFORM GYRUS",6.73879221953141,5.90776915069935,-0.831023068832055,-1.77894643237242,0.000645929285895927,0.00341419765402133
"RPH3A","HIPPOCAMPUS",6.22682598318165,6.37753067936993,0.15070469618828,1.1101115827368,0.996008404513043,0.996008404513043
"RPH3A","LATERAL TEMPORAL CORTEX",6.79751590196313,5.43689491378937,-1.36062098817376,-2.56795689888436,0.000340227161178622,0.00419613498786967
"RPH3A","OCCIPITAL LOBE",6.96744627025273,5.65294392735826,-1.31450234289446,-2.48716521191203,0.00483851326659942,0.0431282497987076
"SCG2","FUSIFORM GYRUS",5.33519235086657,4.82009557228371,-0.515096778582857,-1.4290900024581,0.0291141750695648,0.0422588663366788
"SCG2","HIPPOCAMPUS",5.39479546127711,4.74834425935512,-0.646451201921994,-1.56531303754722,0.241606496624069,0.616010486421672
"SCG2","LATERAL TEMPORAL CORTEX",5.47434553938615,4.52094403733284,-0.953401502053318,-1.93643288810942,0.00560338543252495,0.0197508821855704
