"","01.CA1","02.CA1","04.CA1","05.CA1","06.CA1","07.CA1","08.CA1","09.CA1","10.CA1","11.CA1","12.CA1","13.CA1","15.CA1","16.CA1","17.CA1","18.CA1","19.CA1","20.CA1","21.CA1","22.CA1","23.CA1","24.CA1","25.CA1","26.CA1","27.CA1","28.CA1"
"ADRBK1",6.01061606084586,6.32612184770872,5.57362215510559,6.73229977539719,6.04451072201575,5.70939849810651,6.42173995787577,6.39073836121363,5.79850985724666,5.46583839766216,5.5320108712379,6.27097692239648,6.88838377233482,7.18222401281536,6.1349669886223,6.24446012356835,6.95522224760233,6.15541127543506,6.62979400664452,6.83064707042144,6.39181531485144,6.28923522720012,5.814367948183,6.64483208706804,6.40079056100542,6.68255424892386
"RELA",5.04235528266154,6.10210312800464,5.67726733279559,4.89008818813959,5.35817996476784,4.98957597240901,5.31095281803139,5.90750035885473,5.49910322257439,5.06886772388022,4.75756168489368,5.10107100644164,5.61176959480385,5.68086744655854,5.22060616470906,5.26568118138678,5.36195310218151,5.70035960404613,4.89297203702947,5.10894066887962,5.38114636291408,5.48532230411313,5.35335236264876,5.15215961028431,5.39691154789497,4.792321102343
"EVC2",1.2158741683134,1.40564978872058,1.12474592796643,0.912673553169594,0.786222875556938,0.801590243581159,2.00837879106557,2.12229529358127,0.30808484781423,1.53301176282104,1.24107231933355,1.13095894806067,1.92128843243701,2.34768387714793,1.59753207032914,2.17152398947405,2.90928230573443,2.96831760101558,1.53323674291436,2.61453735473034,1.9695328191866,2.92874532551386,1.09887335214349,1.47040577794242,1.77086026936593,1.97321627976066
"ZNF680",4.94581897139858,5.04847755912008,5.26019678941367,6.02836585535948,5.38696292903815,5.03387178365622,5.54347466049641,5.02321231697356,4.61077835411357,5.43479543267522,5.33811260195173,5.41644681104397,4.22795137284367,4.7580042572688,4.65783799734518,4.40511913089211,5.12439691106574,4.21472063373568,5.24287031743971,4.99080136606085,4.53853061097351,4.38520952513308,4.42519784712445,4.44495888631066,4.52617839925931,4.50741348660775
"HECTD4",8.75936590218185,8.60032844533786,8.33782297591704,8.12557712002842,9.06796759822671,8.67854138411002,9.15858239263762,8.43994366934081,8.76969919744023,8.30891834887022,8.60775862151035,8.51593821716155,8.81899693101266,8.84900552666571,8.77485233538248,8.69887110453227,8.80455222532644,9.01744272616146,8.47093042662045,8.86267831031399,8.64828756348599,8.71713478501162,8.67848791519186,9.01208308493778,8.99725472984119,9.06357110385246
"FAM222B",4.64809586169744,5.14172678945676,4.53460315867857,4.42644658835539,4.26374314951649,4.64865441781179,4.05541530031043,4.80256492890112,4.48820647584263,4.43403997048905,4.50091780258921,4.40989929381078,4.77964947924326,5.00772075776121,4.65997402642831,5.01048811883006,4.81377538981018,5.02956451256966,4.30974285438183,5.05561410197494,4.99173184262251,4.60284634588593,4.32874560962038,5.10578685327447,5.11834841165093,4.95311040203997
"BNC2",2.38568138788019,2.41955586063945,2.5180093600512,3.32660226872187,2.21701266178539,0.900600125981657,0.742905877458916,2.73547476050849,1.94328919260405,2.25566104899736,2.10547142333981,2.22087121977021,1.10136851213601,3.23968117679193,3.1167077094429,1.75609066741355,2.87605250756226,2.33604803318231,3.01251050160671,2.7096665491937,3.06228108841829,3.1109225655243,2.10233479382851,2.37555515346041,2.47520093063233,2.77961051572869
"HPSE",1.28765456014461,-3.80717545341334,0.499426795752984,1.12722373298692,0.888863049919745,1.08030594472273,0.832161176653138,1.81979809189482,0.661009177007352,0.47361398401143,2.07560724114876,0.386579733402506,1.70888280811645,0.026230912567727,2.41824937128151,-0.572185406211509,1.87328067970644,0.162703050756149,1.81625456765027,0.800068453675651,1.81641797567165,1.83025316853638,3.23922774898006,1.47040577794242,1.86838114992422,1.79454207030393
"COQ2",2.58402801240584,2.24375110398343,2.54195699137707,-0.566751494906283,2.07184075042741,1.79764213113614,2.08301338378649,1.4365749255846,1.09098116376477,1.43601769021636,2.3986799484343,1.66041297884547,1.21314600866005,1.10744754290816,1.54302253107771,0.786284071320244,0.833508382318517,0.228701378222802,1.18080473640431,1.24326606769957,-0.39296806290272,1.55634250668037,2.03679850423538,1.83121656815166,1.7958654255324,1.87384065838162
"HSPA6",0.329264766448399,1.33720418748443,0.92068511571698,-3.80717545341334,5.66521657169822,0.695281483743107,5.38288126624813,3.02541129414384,3.91650728995767,0.372396842937578,0.384884296780747,-0.0676521180106902,1.54763990178903,0.381196305915049,1.71724139873722,0.786284071320244,0.0175718566090234,2.42319081919935,2.59237529378045,0.615854553550101,2.67381430087341,2.88937717162336,1.51105339745755,0.988140275071944,0.118640139609665,1.06828510081068
