"","01.NX","02.NX","03.NX","04.NX","05.NX","06.NX","07.NX","08.NX","09.NX","10.NX","11.NX","12.NX","13.NX","14.NX","15.NX","16.NX","17.NX","18.NX","19.NX","20.NX","21.NX","22.NX","23.NX","24.NX","25.NX","26.NX","27.NX","28.NX"
"ARF5",4.96192150904181,4.69437513314959,4.84144718543059,5.02994896289291,5.15055759704859,5.65070904116722,4.94257396212096,5.45491244148409,4.75632201595778,5.32449273497533,4.43587942855822,5.04495711698203,5.00186437470784,6.23457531797789,5.49990816205629,4.69634492054676,5.46706213795206,5.22237098420478,5.24543982327938,5.04066924560228,5.24784345954664,4.79269667412124,4.48458628032282,5.0698914998504,5.86804390495691,5.47935961037659,5.68666874260858,5.41409604831178
"SARM1",5.21718335207268,6.052729640168,4.86122895137776,5.57385391797276,6.23317396913648,5.03308810351331,5.80010850795552,5.53997910633145,5.8056809720752,5.49898898529191,5.50645736945675,6.1101451551658,5.98239819597072,5.79070807701157,6.24013560866016,5.96434156801882,5.50382021788416,6.34770482101177,6.06667449126743,6.14580785551552,6.15157405698096,6.12437558255941,6.81937984879101,6.49531052447232,5.4016703203422,5.76768927087671,5.92861357016568,6.1287361495537
"POLDIP2",5.10173757155272,5.72995607475755,5.74963606600246,5.44826677184834,5.91159063377132,5.10469949474547,5.40327085435931,5.31408187634815,5.43751255780701,5.36262752475404,5.21963665445057,5.29847366593735,5.25695544036838,5.77778590619033,6.01169949123263,5.98980994074555,5.95580395397919,5.55892035508439,6.42344380119707,5.89454816720279,6.08596585595723,6.08524591778412,5.60658343511986,5.89861444883336,5.8504665373684,5.91286733524798,5.97248868066001,5.8873457524653
"PLXND1",6.14908521181557,7.6399443096176,7.1988797705271,6.68319646823586,7.97421297073311,6.67594290449931,6.81239583367272,6.23039191426548,6.47325828189087,6.43956655524516,6.7477531147678,6.55852127661461,6.84010793365295,6.56603206375204,7.59803390043733,8.00220637102039,6.60031850161605,7.41193040106768,7.33740683983519,7.89357614145003,7.10579440939837,7.75004713244965,7.4482842938517,7.8518618822628,6.6203566345271,7.42639751669383,7.5876120783151,8.01382082618997
"AK2",4.65157430247307,5.16133666210408,4.96085409202162,5.33069742462248,4.61454725067138,4.69812755122855,4.5137094809661,4.6656473112358,5.01784694404415,4.95343674543311,5.20156244497317,5.01570606371906,4.98851551315663,4.41929436879859,4.63429356342339,4.66506869949922,4.96243502701862,5.05866744767276,3.9308028905592,4.73584115364088,4.47218492093859,3.57220949573514,5.00460670531624,4.61132394198023,4.45707061154297,4.78140752965705,4.7027767839835,5.10856794897547
"CD38",4.07045548728651,3.6003142439602,4.97454084491243,3.2466434748265,3.58152387306885,3.48544140657832,3.29428702302568,1.61776044971631,0.525262928579233,2.654711057648,5.59219713509269,3.90956874700972,3.09280415764078,1.85837584603316,3.10426042984288,3.23747065737791,3.4341694985097,1.94277095079819,4.65542192637493,2.1372418886728,3.10832839483272,2.94795109371605,3.00747757733064,2.17246265438884,4.01534027688577,2.49759605766543,2.84021831955296,4.26819190033784
"FKBP4",6.75531632391233,6.24239535883314,5.33081415062201,6.00780221613869,4.86452231784255,7.25804538371278,5.63136369768528,7.67681537032284,5.86490346057629,6.17819748677257,5.47920926461955,5.93818239913113,5.66200186384684,6.88683877647166,5.7312813186512,5.67615526320939,6.28566714659149,5.93377695531122,6.27582053468074,5.71877492156828,6.36184965799998,5.85426821309593,5.74777049845438,5.66787916009162,6.74109982510597,6.1422313357413,5.87627269288105,5.93076175630448
"KDM1A",5.4566483408325,5.01676925737377,5.04973813318883,5.46646070161055,4.61454725067138,5.87207366470661,5.4181701875707,5.71022995753927,5.38453163553732,5.67094037389658,5.21663996713292,5.60942276076712,4.92453372231234,5.43673407196788,5.38004055605656,5.26440502763289,5.72426441375591,5.11048517724463,4.75789843059951,5.7004216491097,5.36311062320818,5.02312464764755,4.64198545172328,5.49646011756424,5.85634948728127,5.25804522318043,5.23883698111136,5.1458909617617
"RBM6",6.33616379921629,6.88150227576653,6.25857840054482,6.62769010619483,6.46358313701008,6.03805039703492,7.16795576489524,6.17992944721775,6.40838791565355,6.9349815856648,6.80772877973458,7.06418864583844,6.7871234493598,6.28841149820486,5.41095399917279,6.42584901853133,6.02144697790018,6.92399169794294,7.08484362853987,7.04861774766788,7.04616112836783,7.46948925956611,7.55810998496115,7.78501333934682,5.61100947361369,5.71761597518827,5.79401893161776,6.26022582541168
"CAMKK1",6.60765812970503,5.45489578568453,5.26551066381755,5.71750340231972,6.1337368067133,6.937828142104,7.0039852562844,6.75777088277468,6.01188451069483,6.74209604474272,5.65994915282923,6.69130708629121,6.24628116172662,7.35105625241979,5.98580018741322,6.89439405595806,6.88571919151695,7.56789885959865,6.38465751895788,8.36437945253556,5.63546963006146,7.01875306401819,7.09240712090297,7.67719713648644,7.45098878288022,6.92195242210329,7.32077402400109,6.47172386756513
"RECQL",3.81398146178495,3.57299800901515,4.3191567299909,3.86500442831493,3.81770710359699,4.19232778720067,3.94936701890807,3.46743077073369,3.98145389412328,4.27737262187015,4.20135062594817,3.8059768797053,4.00951126398263,3.57517152876438,4.02743813394659,3.05647509907159,3.47639552814583,3.1621844524468,3.15804654882461,2.84259743586874,3.70991864585226,3.2870307346648,3.42948549899389,3.21296172638436,3.6044386802965,2.88318481091367,3.64552650008803,3.45836368814894
