SYMBOL,k,agree_frac
NUAK2,3,1
NUDT11,3,1
NUDT17,3,1
NUDT21,3,1
NUP188,3,1
NUP37,3,1
NUP93,3,1
NUPR1,4,1
NWD1,4,1
NYAP2,3,1
NYNRIN,4,1
OCIAD1,3,1
OLA1,3,1
OLFM3,3,1
OPA1,3,1
OPCML,3,1
OPN3,4,1
ORAI1,3,1
ORAI2,3,1
ORAI3,3,1
ORC3,4,1
OSBPL7,3,1
OTOGL,3,1
OVGP1,3,1
OXCT1,4,1
OXR1,3,1
P3H2,3,1
PAFAH1B1,3,1
PAK1,3,1
PAK3,4,1
PAK4,3,1
PALLD,3,1
PANK1,3,1
PARD3,3,1
PARD3B,4,1
PARL,3,1
PARTICL,3,1
PARVG,3,1
PCAT19,3,1
PCDH11X,3,1
PCDHA9,3,1
PCED1A,4,1
PCOLCE,3,1
PCSK1,3,1
PCSK5,3,1
PCYOX1L,3,1
PDCD5,4,1
PDE10A,4,1
PDE1A,3,1
PDE9A,3,1
PDHX,3,1
PDP1,3,1
PEAR1,3,1
PEG3,3,1
PER1,3,1
PEX6,3,1
PFDN4,3,1
PFKFB4,3,1
PFN2,3,1
PGAM2,4,1
PGK1,3,1
PGM2L1,3,1
PGPEP1,4,1
PHACTR4,3,1
PHF2,3,1
PHF21A,3,1
PHF21B,4,1
PHGDH,3,1
PHLPP1,3,1
PHYHD1,3,1
PIDD1,4,1
PIEZO1,3,1
PIK3R5,4,1
PIM3,3,1
PINLYP,3,1
PIP5K1B,3,1
PJA2,3,1
PLAA,3,1
PLCB1,4,1
PLCB3,3,1
PLCD3,4,1
PLCL2,3,1
PLCXD3,3,1
PLEKHA4,3,1
PLEKHA7,4,1
PLEKHB1,3,1
PLEKHB2,3,1
PLEKHF1,3,1
PLEKHH3,3,1
PLEKHM1,4,1
PLEKHO2,3,1
PLIN4,3,1
PLOD1,3,1
PLOD3,3,1
PLRG1,3,1
PLXNA3,3,1
PLXNB1,3,1
PLXNB2,4,1
PMEPA1,3,1
PMS2,4,1
PNRC1,3,1
PODN,3,1
POLDIP3,4,1
POLR2B,3,1
POLR3A,3,1
POLR3F,4,1
POLR3H,3,1
POU3F2,4,1
POU3F4,3,1
PPARA,3,1
PPCS,3,1
PPEF1,3,1
PPFIA2,4,1
PPFIBP2,3,1
PPIH,3,1
PPIP5K2,3,1
PPM1E,4,1
PPME1,3,1
PPP1R13L,4,1
PPP1R14B,3,1
PPP1R1A,3,1
PPP1R2,3,1
PPP1R3D,3,1
PPP2CA,3,1
PPP2R2B,3,1
PPP3CB,3,1
PRDM2,3,1
PRELP,4,1
PREP,3,1
PREPL,4,1
PREX1,3,1
PRKACB,3,1
PRKAG1,3,1
PRKCI,3,1
PRKD2,3,1
PRKX,3,1
PRMT9,3,1
PROB1,4,1
PRPF19,3,1
PRR13,3,1
PRR14,3,1
PRX,4,1
PSD2,3,1
PSMA1,4,1
PSMA3,3,1
PSMA4,3,1
PSMA6,3,1
PSMB2,3,1
PSMB3,3,1
PSMD1,4,1
PSMD12,3,1
PSMD13,3,1
PSTPIP1,3,1
PTAFR,3,1
PTPN20,3,1
PTPRO,3,1
PTPRR,3,1
PTRH2,3,1
PTTG1IP,3,1
PWP1,3,1
PXN,3,1
PYGM,3,1
PYROXD1,3,1
PYROXD2,4,1
R3HDM1,3,1
RAB11A,3,1
RAB13,3,1
RAB18,3,1
RAB2A,4,1
RAB3B,4,1
RAB3C,4,1
RAB3GAP2,3,1
RAB3IL1,3,1
RAB6A,3,1
RAB6C,3,1
RAB9B,3,1
RADIL,3,1
RAMP2-AS1,3,1
RAPGEF1,4,1
RAPGEF3,4,1
RARG,3,1
RARRES2,3,1
RASGRF1,3,1
RASL10B,3,1
RASL12,3,1
RASSF3,3,1
RAVER1,3,1
RBFOX2,3,1
RBM14,3,1
RBM3,4,1
RBM38,3,1
RBMS2,3,1
RCAN2,3,1
RCN2,3,1
RCN3,3,1
REEP1,3,1
REEP5,3,1
RELA,4,1
RENBP,3,1
RFC3,3,1
RFK,3,1
RFLNB,3,1
RFX1,3,1
RFX2,3,1
RGCC,4,1
RGL2,4,1
RGL3,3,1
RGMA,3,1
RGS3,3,1
RGS4,4,1
RGS9BP,3,1
RHBDF1,3,1
RHOQ,3,1
RIN2,4,1
RIN3,4,1
RIOK3,3,1
RLIM,3,1
RMND1,4,1
RND2,4,1
RND3,3,1
RNF128,3,1
RNMT,3,1
ROBO2,3,1
RPGRIP1L,3,1
RPH3A,4,1
RPS6KA6,3,1
RRAD,3,1
RRAS,3,1
RRBP1,3,1
RREB1,4,1
RSPO3,3,1
RTCA,4,1
RTEL1,3,1
RTF1,3,1
RTKN2,3,1
RTN1,3,1
RTN3,4,1
RTN4,3,1
RUNX3,3,1
RWDD2A,4,1
RWDD2B,4,1
RXRA,4,1
S100A6,4,1
S1PR3,3,1
SALL2,3,1
SALL3,3,1
SAMD1,4,1
SAMD11,3,1
SAMD4A,3,1
SASH1,3,1
SBNO2,3,1
SCAMP2,3,1
SCFD2,3,1
SCG2,4,1
SCG3,3,1
SCG5,4,1
SCN1A,3,1
SCN7A,4,1
SCOC,3,1
SCPEP1,3,1
SCYL3,3,1
SDHAF4,3,1
SEC22A,3,1
SEC61A2,3,1
SEC61G,3,1
SEH1L,4,1
SELPLG,3,1
SERHL2,3,1
SERPINB8,3,1
SERPINI1,4,1
SERTAD1,3,1
SERTM1,3,1
SGF29,3,1
SGIP1,4,1
SGPL1,3,1
SGTB,3,1
SH2B2,3,1
SH3BP2,3,1
SHKBP1,3,1
SHROOM1,3,1
SIGLEC8,3,1
SIPA1,3,1
SIPA1L3,4,1
SIRT2,3,1
SIX5,4,1
SKI,4,1
SKP1,4,1
SLC12A4,3,1
SLC12A7,4,1
SLC15A3,4,1
SLC16A6,3,1
SLC16A7,3,1
SLC17A6,3,1
SLC19A1,3,1
SLC20A1,3,1
SLC25A12,4,1
SLC25A14,4,1
SLC25A18,3,1
SLC25A43,3,1
SLC25A46,3,1
SLC26A2,3,1
SLC27A2,3,1
SLC2A9,3,1
SLC30A9,4,1
SLC35A1,3,1
SLC35B4,4,1
SLC37A2,4,1
SLC41A1,3,1
SLC44A5,3,1
SLC4A11,3,1
SLC4A1AP,3,1
SLC4A8,3,1
SLC6A12,3,1
SLC6A16,3,1
SLC6A8,3,1
SLC6A9,3,1
SLC7A14,3,1
SLC8A1,4,1
SLC8A3,4,1
SLCO4A1,3,1
SLFN5,3,1
SLIT2,4,1
SLITRK1,3,1
SLITRK3,3,1
SLITRK4,4,1
SMG5,4,1
SMIM14,3,1
SMO,4,1
SMOX,3,1
SMPD2,3,1
SMTN,3,1
SNCA,4,1
SNRPA1,3,1
SNX10,3,1
SNX33,3,1
SNX4,4,1
SOWAHB,3,1
SOX12,3,1
SOX13,4,1
SOX8,3,1
SPACA6,4,1
SPARCL1,3,1
SPEN,3,1
SPIN1,3,1
SPN,3,1
SPR,3,1
SPRYD7,4,1
SRD5A3,3,1
SRRM2,3,1
SSBP1,3,1
SSC5D,3,1
SSX2IP,3,1
ST3GAL5,3,1
ST8SIA3,3,1
STARD10,4,1
STAT1,3,1
STAT4,3,1
STAU2,3,1
STEAP2,3,1
STEAP3,4,1
STIP1,3,1
STK10,3,1
STMN1,4,1
STMN2,3,1
STMN4,3,1
STON1,3,1
STRBP,3,1
STXBP5,3,1
STXBP5L,3,1
SUB1,4,1
SUCLA2,4,1
SUSD4,3,1
SV2A,3,1
SV2B,3,1
SVOP,3,1
SYCP2L,3,1
SYDE1,3,1
SYNE2,3,1
SYNJ1,3,1
SYNPR,3,1
SYPL2,3,1
SYT1,3,1
SYT16,3,1
SYT4,3,1
SYTL2,3,1
SZRD1,4,1
TAC1,3,1
TAF3,3,1
TAF4,3,1
TAF9,3,1
TARBP1,3,1
TATDN3,3,1
TBC1D14,3,1
TBCC,3,1
TBL1X,3,1
TBX3,3,1
TBX6,3,1
TC2N,3,1
TCAP,3,1
TCEA3,4,1
TCEAL5,3,1
TCEAL7,4,1
TCEAL8,3,1
TCF3,4,1
TCF7,3,1
TCF7L1,4,1
TEAD2,3,1
TENM1,4,1
TEP1,3,1
TFCP2,3,1
TFCP2L1,3,1
TFRC,3,1
TGFB1,4,1
TGFB1I1,3,1
THAP9-AS1,3,1
THNSL1,4,1
THOC3,3,1
THOC7,3,1
THY1,3,1
THYN1,3,1
TIGD5,4,1
TIMM8A,3,1
TIPRL,4,1
TJP2,3,1
TLE3,3,1
TLN1,3,1
TM2D2,3,1
TMCC2,4,1
TMCO6,3,1
TMEFF1,3,1
TMEM120A,3,1
TMEM128,3,1
TMEM145,3,1
TMEM150A,3,1
TMEM150C,3,1
TMEM169,3,1
TMEM178B,4,1
TMEM184B,3,1
TMEM204,4,1
TMEM216,3,1
TMEM241,3,1
TMEM242,3,1
TMEM67,3,1
TMEM79,3,1
TMPRSS5,4,1
TMX3,3,1
TMX4,3,1
TNFRSF1A,3,1
TNS3,4,1
TOB2,4,1
TOMM20,4,1
TOP3B,3,1
TP53I3,3,1
TPD52,3,1
TPD52L1,3,1
TPM2,3,1
TPMT,3,1
TRAF2,3,1
TRAF3IP2,4,1
TRAM1L1,3,1
TRAPPC11,3,1
TRAPPC13,4,1
TRAPPC6B,3,1
TRIM23,3,1
TRIM36,3,1
TRIM41,3,1
TRIM47,3,1
TRIM8,4,1
TRIOBP,3,1
TRIP10,3,1
TRMT10C,3,1
TRMT6,3,1
TRPC1,3,1
TRUB1,3,1
TSC22D3,3,1
TSFM,3,1
TSNARE1,3,1
TSNAX,3,1
TSPAN11,3,1
TSPAN33,3,1
TSPAN4,3,1
TSPAN5,3,1
TSPYL5,3,1
TTC19,3,1
TTC30A,3,1
TTC39C,3,1
TTC8,4,1
TUBB2A,3,1
TUBB3,3,1
TUBGCP5,4,1
TUSC3,3,1
TWNK,3,1
TXLNA,3,1
TXN,3,1
TXNDC9,3,1
TYK2,3,1
UBALD2,3,1
UBE2N,4,1
UBE2V2,3,1
UBIAD1,3,1
UBLCP1,5,1
UCHL1,3,1
UCHL5,3,1
UCKL1,3,1
UHRF1,3,1
UNC119B,3,1
UQCRC2,3,1
USP14,3,1
USP21,3,1
UTP15,3,1
VAMP1,3,1
VANGL2,3,1
VASP,3,1
VAT1,3,1
VCAN,3,1
VDAC1,3,1
VDAC2,3,1
VDAC3,4,1
VEGFB,3,1
VEZT,3,1
VIM,3,1
VPS13A,3,1
VPS35,3,1
VPS4B,3,1
VPS50,4,1
VWC2,4,1
VWC2L,3,1
WDR7,3,1
WFIKKN1,3,1
WSCD1,3,1
WWC2,3,1
WWTR1,3,1
XKR4,4,1
XKR8,4,1
XRCC3,3,1
YAP1,4,1
YBX1,3,1
YTHDF2,3,1
YWHAB,5,1
YWHAG,3,1
YWHAZ,4,1
ZBBX,3,1
ZBTB12,3,1
ZBTB20,4,1
ZBTB40,3,1
ZBTB47,3,1
ZC2HC1A,3,1
ZC3H15,3,1
ZDBF2,3,1
ZDHHC23,3,1
ZFHX3,5,1
ZFP36L1,4,1
ZFP36L2,4,1
ZFP37,3,1
ZFP69B,3,1
ZIC1,3,1
ZIC2,3,1
ZIC5,3,1
ZMYND10,3,1
ZNF106,3,1
ZNF184,4,1
ZNF205,3,1
ZNF214,3,1
ZNF219,3,1
ZNF25,4,1
ZNF358,4,1
ZNF365,4,1
ZNF366,3,1
ZNF382,3,1
ZNF385A,3,1
ZNF385D,3,1
ZNF391,3,1
ZNF395,3,1
ZNF441,4,1
ZNF444,3,1
ZNF449,4,1
ZNF467,3,1
ZNF483,3,1
ZNF521,3,1
ZNF524,3,1
ZNF540,3,1
ZNF554,3,1
ZNF592,4,1
ZNF596,4,1
ZNF618,3,1
ZNF711,3,1
ZNF768,4,1
ZNF844,3,1
ZNF853,4,1
ZPR1,3,1
ZRANB3,4,1
ZSWIM8,3,1
ZWILCH,3,1
