SYMBOL,logFC,SE,P.Value,acc,region
ADGRB2,0.90945415076185,0.20363074537724776,1.1288899381651e-4,GSE278723_CA1,hippocampus_CA1
ADGRB3,-0.491688630073312,0.16090026407125532,0.00480176237220173,GSE278723_CA1,hippocampus_CA1
ADGRE5,0.673772988823682,0.20584092780219804,0.00276440064552315,GSE278723_CA1,hippocampus_CA1
ADGRG1,0.681217130628638,0.30131983492443926,0.0315051296318849,GSE278723_CA1,hippocampus_CA1
ADGRL1,0.562327001421013,0.15813784613240375,0.00132438359796739,GSE278723_CA1,hippocampus_CA1
ADGRL4,-0.709028135387507,0.30927858036997236,0.0293719812171846,GSE278723_CA1,hippocampus_CA1
ADH1B,-0.711826437950475,0.30060588970726626,0.02481732314146,GSE278723_CA1,hippocampus_CA1
ADHFE1,0.597119566986993,0.16929980846319231,0.00142917803450168,GSE278723_CA1,hippocampus_CA1
ADIPOR1,0.563190266734069,0.15711291718194714,0.00122784879120849,GSE278723_CA1,hippocampus_CA1
ADIRF,1.78149095623737,0.23686295628734888,2.85032930817699e-8,GSE278723_CA1,hippocampus_CA1
ADK,-0.376031242871418,0.16270584530592067,0.0281844648395685,GSE278723_CA1,hippocampus_CA1
ADORA1,1.01542387247766,0.18624894073539966,7.38169971243027e-6,GSE278723_CA1,hippocampus_CA1
ADPRHL2,0.817632635347007,0.15172122124303253,8.78423233321783e-6,GSE278723_CA1,hippocampus_CA1
ADPRM,-0.776429174527703,0.18837334070600353,2.9008842565365e-4,GSE278723_CA1,hippocampus_CA1
ADRA1B,1.14044384099518,0.5303656020537251,0.0400607576075096,GSE278723_CA1,hippocampus_CA1
ADRA2C,0.89966765740337,0.41311563580906335,0.0377590943164374,GSE278723_CA1,hippocampus_CA1
ADRB1,0.812565442881723,0.3059483195450328,0.0127542011592669,GSE278723_CA1,hippocampus_CA1
ADRB2,0.625905310748499,0.18713439448850686,0.00229948853964033,GSE278723_CA1,hippocampus_CA1
ADRBK1,0.518410717447976,0.15386137997835328,0.00215723353789511,GSE278723_CA1,hippocampus_CA1
ADRBK2,-0.684933959888093,0.23748907566740277,0.00735426006029912,GSE278723_CA1,hippocampus_CA1
ADRM1,0.756992311166073,0.10932371186554925,1.35654834489606e-7,GSE278723_CA1,hippocampus_CA1
ADSS,-0.529229325806622,0.11762334767788565,1.0303280092526e-4,GSE278723_CA1,hippocampus_CA1
ADSSL1,0.609179334600642,0.24102259876807608,0.017236438691963,GSE278723_CA1,hippocampus_CA1
AEBP1,1.23963083483939,0.31593683771353687,4.9637667090945e-4,GSE278723_CA1,hippocampus_CA1
AEBP2,-0.315583829380428,0.12610086066604645,0.0182565825307039,GSE278723_CA1,hippocampus_CA1
AES,0.80391293829667,0.17458261952317997,7.70334181311818e-5,GSE278723_CA1,hippocampus_CA1
AFF4,-0.325804752275702,0.10344610565342227,0.00379151007258008,GSE278723_CA1,hippocampus_CA1
