SYMBOL,max_loo_p,min_loo_p
CDH20,6.657209871886941e-5,1.0381256137224978e-6
CDH23,0.0016667967579437537,2.535076275459198e-21
CDH7,3.684017625765936e-4,1.8683088471595278e-6
CDH8,1.863896360715688e-4,1.9423698422613668e-8
CDK11A,0.027096521344569025,6.348408784962561e-5
CDK14,4.846275235225261e-7,9.166559109398428e-10
CDK2AP1,4.141441724277717e-4,4.402102017923138e-12
CDK2AP2,1.0755997264681116e-7,1.6594177818783173e-10
CDK7,0.025698138830870007,6.510871257840351e-7
CDKL5,0.0028962101473587777,3.174323358784385e-7
CDKN2C,2.261902633489105e-7,3.002953277849387e-10
CEBPA,0.0051257451765074945,2.361193937302151e-17
CELF2,0.0020447145076810855,4.888600997880018e-5
CENPB,4.988853570998774e-4,6.106800104695069e-6
CEP135,0.9172239892750519,5.458748988509285e-9
CEP41,0.009401913630520849,2.67765904201547e-11
CEP68,3.7823692321798686e-5,6.53431221444274e-8
CERS1,0.033716743615634905,5.0846500348062055e-6
CERS4,2.2793902183714183e-5,3.891394044444324e-17
CES2,0.8582079514329377,0.007587128643167714
CFAP221,0.010994868241278656,9.402466059337976e-10
CFAP46,0.9440074212608079,1.295849022030453e-4
CFAP69,0.021584655890792913,1.4746936082076643e-16
CFL1,0.7740359818227742,6.771390114099315e-5
CFLAR,3.398682376135823e-4,9.605343812750488e-6
CGN,3.3338181580323123e-4,8.025423096140721e-8
CGNL1,6.570329633627146e-7,3.0581477882521513e-10
CHCHD2,0.8581438754516783,3.299924578289789e-8
CHCHD6,0.988593085316375,2.0703966232072976e-10
CHCHD7,2.1842966326413672e-7,5.394698933299279e-9
CHGB,7.655998050005537e-5,3.187463199265858e-7
CHM,0.0026348632086748815,2.5707071438371663e-13
CHML,1.993715157269153e-11,1.9033629655030192e-27
CHMP4B,0.9362539067304869,5.6945317673297135e-6
CHN2,0.9862683672989362,2.0066308255889192e-4
CHORDC1,0.7342001290190922,3.689470618178558e-5
CHP1,0.8996114120425411,7.251355773362336e-17
CHPT1,1.5022965361234989e-4,4.571905738485652e-5
CHRM4,0.8867155477567678,3.964863109827094e-10
CHST11,1.6886941106485128e-5,1.984919256027767e-7
CHST3,5.838261614591958e-4,4.1638676422253135e-6
CHST6,7.404268907090251e-6,3.3003098398277216e-7
CHST9,0.7856929489688129,2.4584196125572146e-4
CIC,9.262127048393281e-4,5.332184349112649e-7
CIITA,0.03621542448568416,5.767684904258793e-7
CIRBP,0.6532193735297498,4.092686501044801e-7
CISD1,7.292724518498595e-5,3.963865611343548e-11
CIT,0.9097854957640745,0.006743049517138548
CKLF,0.8694216206385219,1.7256585186060425e-6
CKMT1B,2.812036062841845e-4,8.93217491884466e-7
CLDN15,3.3580748570020823e-6,1.354609322401245e-10
CLDN9,2.2189135268875725e-5,4.608256990517808e-10
CLEC2L,0.9645851424044172,6.053343980478957e-7
CLGN,5.1152472588775955e-5,1.9677783801298357e-6
CLIP2,3.216566797900593e-5,1.9238813742065314e-14
CLIP3,0.8270364430967578,8.573911329077755e-7
CLK1,0.9315171226627137,3.5920536816263914e-5
CLK2,7.531941234819274e-5,2.7532522388446815e-10
CLN3,0.005823002709475224,2.0524020635048776e-24
CLTA,0.9511843742744841,4.0230483814575496e-7
CLTC,1.3557931185001947e-7,1.0093817573042084e-10
CMAS,1.3342871086658644e-7,2.5682465824508404e-12
CMPK2,0.9812412938725001,2.9740444958241418e-8
CMSS1,2.0037043550683697e-6,9.338664579467535e-13
CMTM3,2.1752379589463867e-6,9.937191626721467e-10
CNNM3,0.04261484105870285,3.988131483420022e-7
CNPY2,0.9927975732496632,5.059952104707257e-7
CNTLN,0.8951446003971926,0.001072844129877137
CNTN4,0.01952687204635108,1.0405789446600598e-4
CNTN5,1.6535900705943186e-5,7.42476607737952e-8
CNTNAP2,8.737568156333119e-5,2.885154555756944e-6
COA3,0.7860646687502475,1.9368498706641773e-6
COA7,5.4763311589523034e-5,4.047201332233227e-12
COBL,7.789834254387042e-5,2.2570229891549018e-12
COG1,3.5231806784535174e-4,3.0191080542645094e-8
COL18A1,0.0031497856864927147,0.001461471040789507
COL25A1,2.9843910375612844e-6,9.129213017600675e-12
COL27A1,0.008742508388022544,3.070346669767146e-10
COL28A1,0.8915731711252293,0.0018631050919675788
COL6A2,9.452175339188927e-7,1.872886131872874e-10
COL8A2,2.123505941495642e-5,7.689095637438576e-9
COLGALT1,1.5788523978374448e-5,6.3441176647797244e-12
COMMD4,0.9824495264867009,3.3581372801358466e-4
COPG1,0.6189999719607868,1.5643366992894905e-10
COPS4,1.0247320855383649e-4,9.151269945418795e-10
COPS7A,0.9712778088714027,1.3157862694548457e-11
COPS8,0.01185824913168697,1.0227078592376751e-8
COPZ1,0.899331987537767,4.11907292197988e-5
COQ3,0.001145162060425439,1.3683549919292253e-7
COX15,7.795078261097967e-5,8.895233865930722e-9
COX6B1,0.5623105939006359,1.4047588718980752e-6
COX6C,1.8074070907523514e-4,5.850783005055819e-8
COX8A,0.4774031841854253,7.127620450043417e-7
CPD,0.0018749244568765327,2.8840471215501696e-11
CPM,0.8981574848765297,1.5276087506542847e-8
CPNE2,0.9740134189669222,6.805741422586908e-8
CPNE5,0.9967312710576814,1.0544073834793548e-6
CPNE6,0.7288629036191885,1.8055528980710694e-5
CRB2,0.1163786799226439,6.363272190940678e-4
CREBBP,1.1131293846731158e-7,2.0340944078658527e-15
CREBRF,0.7212921039287912,1.3281570441295246e-5
CREG2,3.2748875746156403e-4,7.188093592612845e-7
CROCC,0.06511143031959718,3.827984833281102e-18
CROT,0.010317978926109316,1.1781767131889895e-14
CRTAP,2.1012078731689977e-4,1.1269855907689551e-7
CRY1,0.9980681255319982,2.1528118442640652e-5
CRY2,0.9943591814197308,1.4264257168754222e-8
CSF1,1.7016390308502645e-9,5.626918592327604e-14
CSK,6.7708905008559265e-6,3.7018537959554053e-7
CSMD3,0.05855757858579965,3.719005687982985e-4
CSNK2B,0.7426225969218425,0.23924541214280837
